year,month,day,temp
2012,1,1,4.8
2012,1,2,4.1
2012,1,3,3.5
2012,1,4,1.8
2012,1,5,0.5
2012,1,6,2
2012,1,7,2.9
2012,1,8,2.3
2012,1,9,3.2
2012,1,10,2.7
2012,1,11,2.4
2012,1,12,1.2
2012,1,13,2.8
2012,1,14,3.7
2012,1,15,3.7
2012,1,16,4.5
2012,1,17,4.1
2012,1,18,2.4
2012,1,19,3.8
2012,1,20,6.7
2012,1,21,6.5
2012,1,22,5.9
2012,1,23,4
2012,1,24,1.3
2012,1,25,0.4
2012,1,26,-1
2012,1,27,0.2
2012,1,28,1.5
2012,1,29,1.5
2012,1,30,0.2
2012,1,31,-0.2
2012,2,1,1.8
2012,2,2,-1.8
2012,2,3,-2.1
2012,2,4,1.3
2012,2,5,3.9
2012,2,6,5.3
2012,2,7,7
2012,2,8,1.6
2012,2,9,0
2012,2,10,1
2012,2,11,1.7
2012,2,12,0.6
2012,2,13,1.9
2012,2,14,4.9
2012,2,15,3.6
2012,2,16,2.4
2012,2,17,2
2012,2,18,-0.6
2012,2,19,-0.1
2012,2,20,1.5
2012,2,21,2.5
2012,2,22,6.6
2012,2,23,8.8
2012,2,24,6.7
2012,2,25,5
2012,2,26,2.6
2012,2,27,0.2
2012,2,28,1.5
2012,2,29,3.9
2012,3,1,7.1
2012,3,2,7.8
2012,3,3,7.1
2012,3,4,5.6
2012,3,5,9.5
2012,3,6,11.9
2012,3,7,8.5
2012,3,8,7.7
2012,3,9,6.6
2012,3,10,6.7
2012,3,11,3.3
2012,3,12,1.4
2012,3,13,1.6
2012,3,14,3.2
2012,3,15,3.3
2012,3,16,5
2012,3,17,9.9
2012,3,18,10.6
2012,3,19,4.6
2012,3,20,4.5
2012,3,21,5.1
2012,3,22,7.5
2012,3,23,8.2
2012,3,24,9.1
2012,3,25,5.7
2012,3,26,4.1
2012,3,27,6.1
2012,3,28,7.3
2012,3,29,8.1
2012,3,30,12.4
2012,3,31,8.7
2012,4,1,6
2012,4,2,8.9
2012,4,3,12.1
2012,4,4,8.9
2012,4,5,9.9
2012,4,6,6.4
2012,4,7,4.6
2012,4,8,6.4
2012,4,9,11.4
2012,4,10,14.5
2012,4,11,14.4
2012,4,12,14.4
2012,4,13,12.1
2012,4,14,11.2
2012,4,15,11.2
2012,4,16,12.3
2012,4,17,12.4
2012,4,18,13.4
2012,4,19,14.9
2012,4,20,14
2012,4,21,16.7
2012,4,22,14.9
2012,4,23,17.4
2012,4,24,17.5
2012,4,25,18.4
2012,4,26,16
2012,4,27,15.9
2012,4,28,16.4
2012,4,29,18.6
2012,4,30,18.5
2012,5,1,21.1
2012,5,2,18.3
2012,5,3,18
2012,5,4,16
2012,5,5,16.5
2012,5,6,15.6
2012,5,7,16.2
2012,5,8,18.1
2012,5,9,17.5
2012,5,10,15.3
2012,5,11,12.4
2012,5,12,11.8
2012,5,13,13.5
2012,5,14,17.6
2012,5,15,16.2
2012,5,16,18.4
2012,5,17,18.5
2012,5,18,16.3
2012,5,19,16.5
2012,5,20,18.1
2012,5,21,19.5
2012,5,22,19.2
2012,5,23,17.9
2012,5,24,18.2
2012,5,25,16.2
2012,5,26,19.1
2012,5,27,19.9
2012,5,28,20.4
2012,5,29,17.7
2012,5,30,16.6
2012,5,31,19.6
2012,6,1,20.9
2012,6,2,20.4
2012,6,3,20.7
2012,6,4,20.4
2012,6,5,19.2
2012,6,6,21.9
2012,6,7,21.5
2012,6,8,20.3
2012,6,9,19.9
2012,6,10,20.3
2012,6,11,21.7
2012,6,12,19.6
2012,6,13,21.5
2012,6,14,23.4
2012,6,15,21.7
2012,6,16,21.9
2012,6,17,23.8
2012,6,18,23.3
2012,6,19,21.8
2012,6,20,23
2012,6,21,18.8
2012,6,22,20.6
2012,6,23,20.5
2012,6,24,21.1
2012,6,25,22.2
2012,6,26,23.2
2012,6,27,21.2
2012,6,28,22.1
2012,6,29,23.9
2012,6,30,22.9
2012,7,1,23.9
2012,7,2,25
2012,7,3,21.6
2012,7,4,23.2
2012,7,5,22.6
2012,7,6,23.9
2012,7,7,23
2012,7,8,21.7
2012,7,9,23.7
2012,7,10,25
2012,7,11,24.5
2012,7,12,25.9
2012,7,13,25.7
2012,7,14,25.5
2012,7,15,27.2
2012,7,16,28.2
2012,7,17,28.5
2012,7,18,27.5
2012,7,19,28.2
2012,7,20,25.3
2012,7,21,25
2012,7,22,26.3
2012,7,23,26
2012,7,24,26.4
2012,7,25,27.5
2012,7,26,27.4
2012,7,27,28.4
2012,7,28,28.1
2012,7,29,29
2012,7,30,29.2
2012,7,31,28.8
2012,8,1,28.6
2012,8,2,28.6
2012,8,3,28.5
2012,8,4,28.7
2012,8,5,28.5
2012,8,6,28.6
2012,8,7,26.9
2012,8,8,25.6
2012,8,9,26.1
2012,8,10,27.1
2012,8,11,26.2
2012,8,12,27.9
2012,8,13,28.2
2012,8,14,26.4
2012,8,15,28.1
2012,8,16,28.8
2012,8,17,27.8
2012,8,18,25.9
2012,8,19,26.7
2012,8,20,27.4
2012,8,21,27.9
2012,8,22,27.9
2012,8,23,27.8
2012,8,24,26.9
2012,8,25,27.7
2012,8,26,27.5
2012,8,27,27.3
2012,8,28,27.9
2012,8,29,27
2012,8,30,27.5
2012,8,31,28.2
2012,9,1,25
2012,9,2,25.2
2012,9,3,25.3
2012,9,4,25.8
2012,9,5,26.9
2012,9,6,25.6
2012,9,7,26.4
2012,9,8,26
2012,9,9,26.4
2012,9,10,25.1
2012,9,11,23.9
2012,9,12,24.5
2012,9,13,25.6
2012,9,14,26
2012,9,15,25.4
2012,9,16,26.4
2012,9,17,27.8
2012,9,18,24.3
2012,9,19,24.3
2012,9,20,21.6
2012,9,21,21.7
2012,9,22,22
2012,9,23,19.2
2012,9,24,20
2012,9,25,22.4
2012,9,26,22
2012,9,27,21.3
2012,9,28,20.5
2012,9,29,21
2012,9,30,19
2012,10,1,18.9
2012,10,2,19.5
2012,10,3,21.8
2012,10,4,21.1
2012,10,5,18.5
2012,10,6,18
2012,10,7,18.7
2012,10,8,17.4
2012,10,9,18.5
2012,10,10,18.9
2012,10,11,19.2
2012,10,12,16.2
2012,10,13,14.8
2012,10,14,15.9
2012,10,15,17.2
2012,10,16,18.7
2012,10,17,17.6
2012,10,18,16.5
2012,10,19,15.3
2012,10,20,13.7
2012,10,21,15.4
2012,10,22,18.1
2012,10,23,14.9
2012,10,24,10.9
2012,10,25,12.9
2012,10,26,13.8
2012,10,27,16
2012,10,28,16
2012,10,29,13.5
2012,10,30,12
2012,10,31,13.1
2012,11,1,11.8
2012,11,2,9.4
2012,11,3,10.3
2012,11,4,9.5
2012,11,5,11.5
2012,11,6,13
2012,11,7,10
2012,11,8,11.8
2012,11,9,10.7
2012,11,10,10.8
2012,11,11,12
2012,11,12,11.4
2012,11,13,8.7
2012,11,14,7.7
2012,11,15,6.2
2012,11,16,7.2
2012,11,17,10.2
2012,11,18,9.4
2012,11,19,8.6
2012,11,20,9.8
2012,11,21,8.5
2012,11,22,9.2
2012,11,23,10
2012,11,24,7.6
2012,11,25,6
2012,11,26,8.1
2012,11,27,5.1
2012,11,28,4.8
2012,11,29,7.4
2012,11,30,7.6
2012,12,1,5
2012,12,2,4.3
2012,12,3,5.5
2012,12,4,6.3
2012,12,5,3.5
2012,12,6,4.7
2012,12,7,2.2
2012,12,8,4
2012,12,9,1.2
2012,12,10,0.6
2012,12,11,1.1
2012,12,12,2.2
2012,12,13,2.3
2012,12,14,4.2
2012,12,15,10.4
2012,12,16,9.4
2012,12,17,7
2012,12,18,5.7
2012,12,19,2.2
2012,12,20,2.1
2012,12,21,3.1
2012,12,22,6.7
2012,12,23,3
2012,12,24,0.2
2012,12,25,1.1
2012,12,26,1.7
2012,12,27,-0.1
2012,12,28,1.4
2012,12,29,6.7
2012,12,30,7.1
2012,12,31,2.3
2013,1,1,1.1
2013,1,2,2.9
2013,1,3,-0.1
2013,1,4,-1.2
2013,1,5,-1.4
2013,1,6,0.6
2013,1,7,1.8
2013,1,8,2.2
2013,1,9,1.4
2013,1,10,1.7
2013,1,11,0.9
2013,1,12,1.5
2013,1,13,3.1
2013,1,14,4.6
2013,1,15,2.8
2013,1,16,1.4
2013,1,17,1.4
2013,1,18,0.3
2013,1,19,2.1
2013,1,20,4.6
2013,1,21,2.3
2013,1,22,6.7
2013,1,23,4.1
2013,1,24,4
2013,1,25,3.1
2013,1,26,0.9
2013,1,27,-0.4
2013,1,28,1.1
2013,1,29,2.8
2013,1,30,5.8
2013,1,31,3.9
2013,2,1,6.3
2013,2,2,12
2013,2,3,6.9
2013,2,4,6.8
2013,2,5,5
2013,2,6,4.2
2013,2,7,5.6
2013,2,8,-0.1
2013,2,9,0.1
2013,2,10,1.7
2013,2,11,1.2
2013,2,12,2.6
2013,2,13,3.3
2013,2,14,4.4
2013,2,15,4.4
2013,2,16,1.2
2013,2,17,0.9
2013,2,18,4.3
2013,2,19,2.6
2013,2,20,2.3
2013,2,21,1
2013,2,22,1.8
2013,2,23,2.2
2013,2,24,0.5
2013,2,25,1
2013,2,26,3.5
2013,2,27,7.4
2013,2,28,6
2013,3,1,8.5
2013,3,2,3.5
2013,3,3,2.5
2013,3,4,3
2013,3,5,4.9
2013,3,6,6.9
2013,3,7,9.6
2013,3,8,12.9
2013,3,9,12.3
2013,3,10,7.2
2013,3,11,4.1
