calendar.date,days,K27.I.FUS3,K27.II.FUS3,K27.III.FUS3,K27.IV.FUS3,K27.V.FUS3,K27.VI.FUS3,K27.VII.FUS3,K27.VIII.FUS3,,K27.I.STM,K27.II.STM,K27.III.STM,K27.IV.STM,K27.V.STM,K27.VI.STM,K27.VII.STM,K27.VIII.STM
120925,25,0.033341469,0.10675934,0.021522204,0.016156186,0.009301845,0.010850805,0.005437607,0.007523089,,0.037818792,0.115396623,0.02541729,0.019413484,0.011468698,0.014817522,0.006245984,0.008972102
121023,53,0.020917209,0.056698032,0.012288398,0.010224698,0.009802305,0.004629436,0.0050097,0.010651234,,0.031726143,0.079710799,0.015860937,0.012634226,0.012493177,0.006109979,0.007501621,0.014621582
121106,67,0.044187038,0.029591503,0.009589538,0.012408515,0.01093225,0.003838967,0.001894891,0.005013434,,0.045269254,0.029498035,0.009391976,0.012338479,0.010487414,0.003644093,0.001896962,0.004589324
121121,82,0.106233268,0.123505385,0.056550562,0.021125833,0.015530047,0.008176745,0.002428233,0.044097219,,0.084572916,0.095703315,0.045271528,0.016094132,0.012354584,0.006282135,0.001795195,0.035622188
121204,95,0.276304532,0.226630366,0.074083845,0.027610461,0.011098792,0.006840919,0.003832383,0.006985063,,0.215570112,0.176230462,0.05882615,0.021293583,0.008309363,0.005134511,0.00287078,0.00543817
121218,109,0.634552646,0.628325701,0.179395439,0.082704584,0.026910943,0.022333812,0.006203673,0.012304971,,0.423687002,0.415775358,0.120414557,0.056218316,0.017079779,0.015435271,0.004362895,0.008543997
130108,130,0.988229667,1.044991765,0.25311615,0.166953798,0.083859774,0.039701352,0.01290169,0.020509187,,0.616319341,0.658381551,0.159414915,0.105337839,0.051753383,0.025048768,0.008072026,0.012821818
130122,144,0.924115992,1.174070968,0.38410014,0.211859321,0.148697934,0.054851605,0.026943484,0.028852878,,0.648775583,0.823999248,0.271047365,0.146993969,0.10612774,0.038593833,0.019163701,0.020401091
130205,158,1.189779789,1.370656127,0.651734584,0.286244359,0.168233286,0.075630819,0.058527359,0.022786044,,0.78117782,0.898175743,0.427116857,0.189200539,0.110765365,0.049856885,0.038234326,0.014951143
130219,172,1.177387926,1.232036463,0.702143078,0.415999614,0.365548011,0.171277588,0.140995553,0.060438253,,0.840319781,0.88478253,0.505092009,0.299011976,0.261538803,0.119751348,0.097883448,0.04265829
130305,186,1.210735506,1.338938526,1.030849612,0.76323843,0.621316893,0.416336038,0.244519233,0.110371693,,0.848327851,0.937313422,0.720377088,0.535921242,0.43531399,0.29327044,0.170818543,0.076558725
130319,200,1.183764109,1.378491376,1.028355757,0.940602702,0.999162895,0.9543965,0.545897527,0.198675843,,0.925733866,1.045590719,0.787527391,0.734735462,0.769405429,0.714949113,0.405430213,0.150645043
130402,214,1.011086823,1.274222952,1.053547321,0.832038426,0.956559019,0.780610178,0.508869445,0.129683315,,0.815353687,1.028666384,0.845736081,0.665093509,0.770283139,0.631833883,0.408379905,0.103856183
130416,228,0.776418509,1.041676082,1.073326518,0.815969882,1.006364674,0.66241481,0.380121903,0.105181495,,0.586646744,0.783522224,0.812624201,0.624442954,0.760652838,0.496540333,0.28190097,0.07668016
130430,242,0.346636514,0.455891964,0.606668591,0.534208931,0.576596975,0.31182217,0.167252385,0.076164158,,0.274369614,0.361641349,0.482244109,0.426600347,0.45897184,0.24799001,0.13244861,0.06020975
