calendar.date,days,K4.I.ACT2,K4.II.ACT2,K4.III.ACT2,K4.IV.ACT2,K4.V.ACT2,K4.VI.ACT2,K4.VII.ACT2,K4.VIII.ACT2,,K4.I.PP2AA3,K4.II.PP2AA3,K4.III.PP2AA3,K4.IV.PP2AA3,K4.V.PP2AA3,K4.VI.PP2AA3,K4.VII.PP2AA3,K4.VIII.PP2AA3
120925,25,1.058776004,0.86012077,0.140344558,0.061009532,0.049971275,0.069438929,0.04358443,0.039163815,,1.112322164,0.90081739,0.146473048,0.064337284,0.052057099,0.072108583,0.046150403,0.042107887
121023,53,0.787653556,0.701560309,0.060225133,0.027246634,0.031075196,0.053238526,0.086723147,0.05548861,,1.010718991,0.903196324,0.076507723,0.034846759,0.03987632,0.068916978,0.111871968,0.071342388
121106,67,0.964508084,1.013278133,0.039577871,0.016813559,0.02065561,0.028178863,0.05450234,0.037156325,,1.092638308,1.155934358,0.044354692,0.018896877,0.023058585,0.032798317,0.063830331,0.043035083
121121,82,0.779188712,0.840005879,0.025152651,0.012886135,0.012557101,0.091286515,0.160629475,0.11873164,,0.859716991,0.9452865,0.026831492,0.014482216,0.013184022,0.102220518,0.18127886,0.1349506
121204,95,0.598520462,0.718785823,0.011761994,0.007359071,0.009092404,0.147246977,0.28121069,0.188242503,,0.86431644,1.041527856,0.016984572,0.010636901,0.01313034,0.21134162,0.403445543,0.2700598
121218,109,0.428635047,0.506821692,0.008969708,0.0059377,0.010012578,0.14282377,0.254456567,0.164994333,,0.563436538,0.667849969,0.01187408,0.007577214,0.013307264,0.180005227,0.317492807,0.210659667
130108,130,0.281545083,0.25407974,0.004890012,0.005130333,0.015710586,0.242949733,0.471236335,0.313196095,,0.416662687,0.374309794,0.007238758,0.007471748,0.022743995,0.36290805,0.70898159,0.483873925
130122,144,0.213964232,0.227160819,0.004521827,0.006127452,0.009514931,0.201334403,0.398868068,0.19941366,,0.348562555,0.369040281,0.007261794,0.009361773,0.015514937,0.320082093,0.637668183,0.316073528
130205,158,0.191566321,0.183210802,0.005145752,0.004663903,0.006620011,0.115028525,0.23359871,0.152130178,,0.270675568,0.258111229,0.00703623,0.006495736,0.009154344,0.160088333,0.332698615,0.215564705
130219,172,0.192005372,0.192303826,0.003737655,0.003142187,0.006695136,0.136949488,0.24970644,0.15892034,,0.299293713,0.301689231,0.00573311,0.005050844,0.010498924,0.217888128,0.388958953,0.24863346
130305,186,0.133914363,0.136186948,0.005354151,0.00446473,0.006526227,0.061331928,0.132511163,0.073798065,,0.18344582,0.186648125,0.007320827,0.006054059,0.008925822,0.084439248,0.182490883,0.100308978
