calendar.date,days,FLC.ACT2.mean,FLC.ACT2.SD,FLC.ACT2.log10mean,FLC.ACT2.log10SD,FLC.PP2AA3.mean,FLC.PP2AA3.SD,FLC.PP2AA3.log10mean,FLC.PP2AA3.log10SD
120925,25,1.638033612,0.296287456,0.208503761,0.083947681,1.713455675,0.378533246,0.225079973,0.103520405
121023,53,1.307500619,0.099904697,0.115496503,0.033039359,1.552754437,0.315376706,0.183786389,0.094016688
121106,67,1.055463152,0.398508199,0.000146957,0.164010515,1.601427667,0.597714161,0.179385086,0.175786356
121121,82,0.649462289,0.315678012,-0.221463624,0.210017576,1.06465128,0.580908363,-0.0256737,0.251187269
121204,95,0.194782496,0.151671984,-0.792910384,0.293666962,0.451885766,0.305281236,-0.430950062,0.324833117
121218,109,0.144838822,0.167542929,-1.068903631,0.535626111,0.25759216,0.338069354,-0.88378443,0.601780906
130108,130,0.008964222,0.004384318,-2.104689833,0.284015743,0.01975343,0.0102902,-1.790060377,0.368735538
130122,144,0.003099709,0.001996525,-2.575883953,0.277450533,0.005323034,0.00325808,-2.348210109,0.306211597
130205,158,0.001439225,0.000475175,-2.859634087,0.156538677,0.003653514,0.002041832,-2.496328976,0.269156928
130219,172,0.0006617,2.16E-05,-3.179454501,0.014177429,0.001087411,0.000679831,-3.020397367,0.248383249
130307,186,0.001227637,0.000316982,-2.918292165,0.113408574,0.001982892,0.000324358,-2.707414277,0.07534267
130319,200,0.00597964,0.003724246,-2.30455342,0.355163699,0.015426542,0.014417496,-2.074384838,0.637341957
130402,214,0.043722837,0.050445842,-1.689159859,0.674777075,0.132971853,0.14297579,-1.245395647,0.748832991
130416,228,0.387912929,0.171715732,-0.446199541,0.206323933,0.810699389,0.500826157,-0.148126275,0.251294999
130430,242,0.754687644,0.534749398,-0.223724045,0.369545131,2.362001896,1.546568352,0.256811001,0.421560563
130513,255,1.472524802,1.016061351,0.068061796,0.364869046,3.100995492,1.573348792,0.429378737,0.297215631
130528,270,1.942401134,1.393352414,0.199483026,0.330430581,3.922253098,2.605343561,0.482617048,0.430950227
130611,284,3.48863853,2.42744808,0.462753834,0.309095543,5.778500961,3.157776022,0.706619366,0.261584571
130702,305,1.99043115,1.020874565,0.250862081,0.241505772,2.045783067,0.997371739,0.254610161,0.280225148
130716,319,1.084937878,0.241299561,0.027460042,0.104283257,1.408711512,0.339464224,0.13798837,0.115844064
130730,333,1.383070671,0.516901949,0.114766727,0.179659736,1.711775059,0.738692456,0.208100037,0.163156441
130813,347,2.25287467,0.709371066,0.337100522,0.133738775,5.028777442,3.189231883,0.615903326,0.335067046
130827,361,2.265682856,0.750403894,0.334894587,0.158227821,9.300597697,11.59627038,0.754841144,0.462282941
130910,375,1.254873416,0.228876166,0.092429803,0.08726442,3.941547582,1.199319717,0.578725406,0.144205202
130924,389,1.578733061,0.285711637,0.192461655,0.084202923,3.35210309,0.820316833,0.513480689,0.122713933
131008,403,1.497221564,0.780951101,0.117925566,0.275350301,2.834453954,1.710195905,0.395893608,0.252825243
131022,417,2.171362816,0.630600799,0.321539886,0.136090156,4.719886355,1.676494734,0.651900015,0.16272281
131105,431,2.243018472,0.415984559,0.345286809,0.079967645,5.000437483,0.810871039,0.694679189,0.070959937
131119,445,1.739772643,0.271818484,0.23664292,0.066231525,4.100469683,1.739539087,0.583329047,0.185068945
131203,459,0.374608329,0.155045982,-0.449789955,0.156748031,0.68098033,0.353199893,-0.204150253,0.199019764
131217,473,0.320801381,0.156925101,-0.530640917,0.203489161,0.464582493,0.135863923,-0.34561291,0.118329144
140107,494,0.06372846,0.05210001,-1.291089895,0.321735372,0.116418096,0.102134719,-1.031284265,0.308920708
140121,508,0.043422253,0.037625219,-1.563881907,0.556112975,0.081416527,0.066318594,-1.293604293,0.576746974
140204,522,0.005557864,0.003239575,-2.303876461,0.230096027,0.017808621,0.006636003,-1.779088246,0.198433706
140218,536,0.009122737,0.009462913,-2.249608321,0.52343937,0.01499754,0.015871279,-2.016747413,0.490514348
140304,550,0.021696609,0.023511313,-2.133523207,0.880418491,0.030455977,0.036527865,-1.957950309,0.822413976
140320,566,0.00797495,0.007482756,-2.305164595,0.562988485,0.014880437,0.011990141,-2.014608931,0.509939618
140401,578,0.063628761,0.052656659,-1.326010396,0.400273719,0.122004135,0.07759397,-0.997093445,0.327854643
140415,592,0.23740244,0.184211253,-0.786493137,0.492628323,0.33687837,0.195999536,-0.549513901,0.32733295
140428,605,0.728722334,0.310948099,-0.170200046,0.20095136,1.576613549,0.80560471,0.145029337,0.261780461
140513,620,1.159205883,0.304637336,0.053385228,0.110625241,2.163524879,0.848395716,0.311186542,0.165347869
140527,634,1.1394744,0.388468526,0.036654277,0.168394211,2.077269316,0.659130264,0.300880949,0.139201019
140610,648,1.359032425,0.798011457,0.086198308,0.222050524,2.340733251,0.800020892,0.352136555,0.137633356
140623,661,1.100790765,0.142804257,0.039149796,0.053430304,2.287492612,0.324372324,0.35632204,0.058182345
140708,676,1.200010044,0.346882581,0.066144747,0.121521652,2.20681465,0.6083009,0.3286675,0.138880206
140722,690,2.146751384,1.472395899,0.27097527,0.247730119,3.062287374,1.079062348,0.468878305,0.134927793
140805,704,1.200131688,0.555364476,0.045333104,0.196377222,1.996247037,1.112877271,0.243831002,0.261558431
140819,718,1.138622326,0.354596922,0.035482772,0.166375327,2.365875138,1.226906913,0.331340454,0.221834306
140902,732,1.06383592,0.41882732,0.005478659,0.150575051,2.061112891,0.978039859,0.280890064,0.191275694
140916,746,1.751512867,0.486162173,0.23240716,0.10908405,3.018087235,1.870632494,0.418569536,0.266853951
