year,month,day,daily_max_temp,daily_min_temp,daily_mean_temp
2012,1,1,12.2,-1.8,4.8
2012,1,2,7.6,2,4.1
2012,1,3,8.1,-0.3,3.5
2012,1,4,7.3,-2.4,1.8
2012,1,5,6.1,-4,0.5
2012,1,6,9.4,-1.5,2
2012,1,7,6.6,-1.1,2.9
2012,1,8,9,-1.8,2.3
2012,1,9,10.1,-1.2,3.2
2012,1,10,11.1,-1.6,2.7
2012,1,11,9.5,-1.5,2.4
2012,1,12,5,-1.4,1.2
2012,1,13,10.8,-3,2.8
2012,1,14,7.9,0.7,3.7
2012,1,15,7.8,-0.3,3.7
2012,1,16,5.2,3.3,4.5
2012,1,17,8.6,-2.5,4.1
2012,1,18,11.9,-4.6,2.4
2012,1,19,5.7,1.1,3.8
2012,1,20,8.5,3.5,6.7
2012,1,21,7.9,3.8,6.5
2012,1,22,12,1.2,5.9
2012,1,23,9.2,0.9,4
2012,1,24,6.1,-1.4,1.3
2012,1,25,6.8,-3.4,0.4
2012,1,26,6.2,-6.1,-1
2012,1,27,7.7,-4.7,0.2
2012,1,28,7.1,-2.9,1.5
2012,1,29,4.6,-1.9,1.5
2012,1,30,5.7,-2.9,0.2
2012,1,31,7.6,-5.7,-0.2
2012,2,1,8.6,-4.5,1.8
2012,2,2,3.4,-6.4,-1.8
2012,2,3,6,-8.6,-2.1
2012,2,4,9,-5.4,1.3
2012,2,5,10,-2.4,3.9
2012,2,6,7.8,2.6,5.3
2012,2,7,11.7,1.9,7
2012,2,8,6,-2.3,1.6
2012,2,9,7.2,-5.6,0
2012,2,10,7.1,-4.4,1
2012,2,11,9.1,-2.3,1.7
2012,2,12,8.1,-4.8,0.6
2012,2,13,3.9,-1.5,1.9
2012,2,14,7.1,2.3,4.9
2012,2,15,6.7,1,3.6
2012,2,16,8.1,-0.8,2.4
2012,2,17,7.7,-2.2,2
2012,2,18,3.8,-3.7,-0.6
2012,2,19,7.3,-4.9,-0.1
2012,2,20,9.8,-3.6,1.5
2012,2,21,8.8,-4.4,2.5
2012,2,22,12.3,1.9,6.6
2012,2,23,13.1,6.4,8.8
2012,2,24,11.2,2.9,6.7
2012,2,25,8.4,3.1,5
