calendar.date,days,K27.I.FUS3.mean,K27.II.FUS3.mean,K27.III.FUS3.mean,K27.IV.FUS3.mean,K27.V.FUS3.mean,K27.VI.FUS3.mean,K27.VII.FUS3.mean,K27.VIII.FUS3.mean,,K27.I.FUS3.SD,K27.II.FUS3.SD,K27.III.FUS3.SD,K27.IV.FUS3.SD,K27.V.FUS3.SD,K27.VI.FUS3.SD,K27.VII.FUS3.SD,K27.VIII.FUS3.SD,,K27.I.STM.mean,K27.II.STM.mean,K27.III.STM.mean,K27.IV.STM.mean,K27.V.STM.mean,K27.VI.STM.mean,K27.VII.STM.mean,K27.VIII.STM.mean,,K27.I.STM.SD,K27.II.STM.SD,K27.III.STM.SD,K27.IV.STM.SD,K27.V.STM.SD,K27.VI.STM.SD,K27.VII.STM.SD,K27.VIII.STM.SD
25 Sep. 2012,25,0.033341469,0.10675934,0.021522204,0.016156186,0.009301845,0.010850805,0.005437607,0.007523089,,0.017856753,0.052014704,0.001222463,0.001695472,0.001586255,0.004718692,0.004901482,0.00168248,,0.037818792,0.115396623,0.02541729,0.019413484,0.011468698,0.014817522,0.006245984,0.008972102,,0.013131156,0.041587144,0.006401251,0.003690455,0.003636939,0.010870502,0.004761688,0.001421501
23 Oct. 2012,53,0.020917209,0.056698032,0.012288398,0.010224698,0.009802305,0.004629436,0.0050097,0.010651234,,0.009750069,0.015600754,0.003399716,0.004663319,0.004984929,0.002253004,0.001849232,0.002046518,,0.031726143,0.079710799,0.015860937,0.012634226,0.012493177,0.006109979,0.007501621,0.014621582,,0.026861271,0.038083006,0.001556956,0.004192226,0.004036776,0.002595257,0.005278754,0.005120743
6 Nov. 2012,67,0.044187038,0.029591503,0.009589538,0.012408515,0.01093225,0.003838967,0.001894891,0.005013434,,0.028396747,0.009437573,0.003213655,0.005579149,0.002145123,0.00185439,0.001618428,0.003611619,,0.045269254,0.029498035,0.009391976,0.012338479,0.010487414,0.003644093,0.001896962,0.004589324,,0.032647736,0.012581212,0.003830193,0.006642105,0.001579784,0.001461745,0.001804226,0.002767966
21 Nov. 2012,82,0.106233268,0.123505385,0.056550562,0.021125833,0.015530047,0.008176745,0.002428233,0.044097219,,0.049589391,0.032827793,0.025396795,0.005629034,0.00647322,0.000769597,0.000809112,0.064398015,,0.084572916,0.095703315,0.045271528,0.016094132,0.012354584,0.006282135,0.001795195,0.035622188,,0.05113785,0.032369777,0.025920859,0.004328337,0.006551209,0.000897502,0.000192801,0.051142835
4 Dec. 2012,95,0.276304532,0.226630366,0.074083845,0.027610461,0.011098792,0.006840919,0.003832383,0.006985063,,0.039616203,0.120490029,0.019123912,0.009966581,0.004653707,0.003807288,0.004363611,0.001107164,,0.215570112,0.176230462,0.05882615,0.021293583,0.008309363,0.005134511,0.00287078,0.00543817,,0.042140475,0.089230489,0.022018445,0.006923015,0.00290085,0.002556228,0.003102592,0.001032043
18 Dec. 2012,109,0.634552646,0.628325701,0.179395439,0.082704584,0.026910943,0.022333812,0.006203673,0.012304971,,0.125185353,0.039150608,0.05069576,0.037509913,0.01909989,0.002222757,0.003898716,0.006265266,,0.423687002,0.415775358,0.120414557,0.056218316,0.017079779,0.015435271,0.004362895,0.008543997,,0.109646412,0.034938696,0.041914713,0.031065449,0.010085828,0.001244664,0.002803891,0.004472034
8 Jan. 2013,130,0.988229667,1.044991765,0.25311615,0.166953798,0.083859774,0.039701352,0.01290169,0.020509187,,0.20839183,0.089685437,0.020702878,0.059543298,0.023540209,0.003639889,0.001995995,0.005416949,,0.616319341,0.658381551,0.159414915,0.105337839,0.051753383,0.025048768,0.008072026,0.012821818,,0.117907466,0.104183058,0.023775292,0.038100902,0.01123181,0.004244786,0.001182208,0.003315103
22 Jan. 2013,144,0.924115992,1.174070968,0.38410014,0.211859321,0.148697934,0.054851605,0.026943484,0.028852878,,0.108322234,0.086077232,0.058008137,0.060629047,0.059053786,0.036662871,0.006730481,0.011468846,,0.648775583,0.823999248,0.271047365,0.146993969,0.10612774,0.038593833,0.019163701,0.020401091,,0.092336675,0.083285558,0.053561468,0.034560616,0.045877077,0.02679729,0.005714466,0.008964079
5 Feb. 2013,158,1.189779789,1.370656127,0.651734584,0.286244359,0.168233286,0.075630819,0.058527359,0.022786044,,0.166264141,0.220718795,0.168042464,0.050517098,0.064922498,0.045673383,0.025295644,0.012749326,,0.78117782,0.898175743,0.427116857,0.189200539,0.110765365,0.049856885,0.038234326,0.014951143,,0.101677327,0.129585268,0.107793925,0.042369946,0.042047796,0.03026262,0.016032789,0.008214204
19 Feb. 2013,172,1.177387926,1.232036463,0.702143078,0.415999614,0.365548011,0.171277588,0.140995553,0.060438253,,0.135982711,0.132539883,0.073749475,0.095672427,0.058226285,0.071682234,0.071770599,0.025482883,,0.840319781,0.88478253,0.505092009,0.299011976,0.261538803,0.119751348,0.097883448,0.04265829,,0.076516812,0.133491701,0.082630087,0.074227384,0.041416678,0.042516711,0.045366929,0.016025754
