calendar.date,days,K27_VI_FUS3_mean,K27_VII_FUS3_mean,K27_VIII_FUS3_mean,K27_VI_STM_mean,K27_VII_STM_mean,K27_VIII_STM_mean,K4_VI_ACT2_mean,K4_VII_ACT2_mean,K4_VIII_ACT2_mean,K4_VI_PP2AA3_mean,K4_VII_PP2AA3_mean,K4_VIII_PP2AA3_mean,K27_VI_FUS3_SD,K27_VII_FUS3_SD,K27_VIII_FUS3_SD,K27_VI_STM_SD,K27_VII_STM_SD,K27_VIII_STM_SD,K4_VI_ACT2_SD,K4_VII_ACT2_SD,K4_VIII_ACT2_SD,K4_VI_PP2AA3_SD,K4_VII_PP2AA3_SD,K4_VIII_PP2AA3_SD
25 Sep. 2012,25,0.010850805,0.005437607,0.007523089,0.014817522,0.006245984,0.008972102,0.069438929,0.04358443,0.039163815,0.072108583,0.046150403,0.042107887,0.004718692,0.004901482,0.00168248,0.010870502,0.004761688,0.001421501,0.0349313,0.007655381,0.009954205,0.031967642,0.009464797,0.014636316
23 Oct. 2012,53,0.004629436,0.0050097,0.010651234,0.006109979,0.007501621,0.014621582,0.053238526,0.086723147,0.05548861,0.068916978,0.111871968,0.071342388,0.002253004,0.001849232,0.002046518,0.002595257,0.005278754,0.005120743,0.013095954,0.023222213,0.007273118,0.01958409,0.032726434,0.009737189
6 Nov. 2012,67,0.003838967,0.001894891,0.005013434,0.003644093,0.001896962,0.004589324,0.028178863,0.05450234,0.037156325,0.032798317,0.063830331,0.043035083,0.00185439,0.001618428,0.003611619,0.001461745,0.001804226,0.002767966,0.008445963,0.029275316,0.011332153,0.012204965,0.036598704,0.016224797
21 Nov. 2012,82,0.008176745,0.002428233,0.044097219,0.006282135,0.001795195,0.035622188,0.091286515,0.160629475,0.11873164,0.102220518,0.18127886,0.1349506,0.000769597,0.000809112,0.064398015,0.000897502,0.000192801,0.051142835,0.067681682,0.129291183,0.05744526,0.083181386,0.160274077,0.074753108
4 Dec. 2012,95,0.006840919,0.003832383,0.006985063,0.005134511,0.00287078,0.00543817,0.147246977,0.28121069,0.188242503,0.21134162,0.403445543,0.2700598,0.003807288,0.004363611,0.001107164,0.002556228,0.003102592,0.001032043,0.038509537,0.056601506,0.069642815,0.05755487,0.08728587,0.101122393
18 Dec. 2012,109,0.022333812,0.006203673,0.012304971,0.015435271,0.004362895,0.008543997,0.14282377,0.254456567,0.164994333,0.180005227,0.317492807,0.210659667,0.002222757,0.003898716,0.006265266,0.001244664,0.002803891,0.004472034,0.043673035,0.047495834,0.026503275,0.057604101,0.021400496,0.050953462
8 Jan. 2013,130,0.039701352,0.01290169,0.020509187,0.025048768,0.008072026,0.012821818,0.242949733,0.471236335,0.313196095,0.36290805,0.70898159,0.483873925,0.003639889,0.001995995,0.005416949,0.004244786,0.001182208,0.003315103,0.057026275,0.088447881,0.097943253,0.081734269,0.163457736,0.223095116
22 Jan. 2013,144,0.054851605,0.026943484,0.028852878,0.038593833,0.019163701,0.020401091,0.201334403,0.398868068,0.19941366,0.320082093,0.637668183,0.316073528,0.036662871,0.006730481,0.011468846,0.02679729,0.005714466,0.008964079,0.021007133,0.056550255,0.050747325,0.051633031,0.140546913,0.087079044
5 Feb. 2013,158,0.075630819,0.058527359,0.022786044,0.049856885,0.038234326,0.014951143,0.115028525,0.23359871,0.152130178,0.160088333,0.332698615,0.215564705,0.045673383,0.025295644,0.012749326,0.03026262,0.016032789,0.008214204,0.079407718,0.093649653,0.07280047,0.093838645,0.10200948,0.081573393
19 Feb. 2013,172,0.171277588,0.140995553,0.060438253,0.119751348,0.097883448,0.04265829,0.136949488,0.24970644,0.15892034,0.217888128,0.388958953,0.24863346,0.071682234,0.071770599,0.025482883,0.042516711,0.045366929,0.016025754,0.045742956,0.048811793,0.01930599,0.092176997,0.073531581,0.039276734
