calendar.date,days,K4.I.ACT2.mean,K4.II.ACT2.mean,K4.III.ACT2.mean,K4.IV.ACT2.mean,K4.V.ACT2.mean,K4.VI.ACT2.mean,K4.VII.ACT2.mean,K4.VIII.ACT2.mean,,K4.I.ACT2.SD,K4.II.ACT2.SD,K4.III.ACT2.SD,K4.IV.ACT2.SD,K4.V.ACT2.SD,K4.VI.ACT2.SD,K4.VII.ACT2.SD,K4.VIII.ACT2.SD,,K4.I.PP2AA3.mean,K4.II.PP2AA3.mean,K4.III.PP2AA3.mean,K4.IV.PP2AA3.mean,K4.V.PP2AA3.mean,K4.VI.PP2AA3.mean,K4.VII.PP2AA3.mean,K4.VIII.PP2AA3.mean,,K4.I.PP2AA3.SD,K4.II.PP2AA3.SD,K4.III.PP2AA3.SD,K4.IV.PP2AA3.SD,K4.V.PP2AA3.SD,K4.VI.PP2AA3.SD,K4.VII.PP2AA3.SD,K4.VIII.PP2AA3.SD
25 Sep. 2012,25,1.058776004,0.86012077,0.140344558,0.061009532,0.049971275,0.069438929,0.04358443,0.039163815,,0.180795132,0.176174871,0.031207684,0.009845103,0.018537859,0.0349313,0.007655381,0.009954205,,1.112322164,0.90081739,0.146473048,0.064337284,0.052057099,0.072108583,0.046150403,0.042107887,,0.074718458,0.086594551,0.018367861,0.003625922,0.013693889,0.031967642,0.009464797,0.014636316
23 Oct. 2012,53,0.787653556,0.701560309,0.060225133,0.027246634,0.031075196,0.053238526,0.086723147,0.05548861,,0.070136019,0.078490191,0.014091244,0.006978051,0.008001164,0.013095954,0.023222213,0.007273118,,1.010718991,0.903196324,0.076507723,0.034846759,0.03987632,0.068916978,0.111871968,0.071342388,,0.062903453,0.120828584,0.011324317,0.007750048,0.010363096,0.01958409,0.032726434,0.009737189
6 Nov. 2012,67,0.964508084,1.013278133,0.039577871,0.016813559,0.02065561,0.028178863,0.05450234,0.037156325,,0.03206863,0.108670625,0.015722069,0.00335923,0.008226594,0.008445963,0.029275316,0.011332153,,1.092638308,1.155934358,0.044354692,0.018896877,0.023058585,0.032798317,0.063830331,0.043035083,,0.125609019,0.232617827,0.018023864,0.003575831,0.009055537,0.012204965,0.036598704,0.016224797
21 Nov. 2012,82,0.779188712,0.840005879,0.025152651,0.012886135,0.012557101,0.091286515,0.160629475,0.11873164,,0.18070888,0.105018544,0.012431015,0.006678685,0.007724154,0.067681682,0.129291183,0.05744526,,0.859716991,0.9452865,0.026831492,0.014482216,0.013184022,0.102220518,0.18127886,0.1349506,,0.044204899,0.142694721,0.007640911,0.008406532,0.005249813,0.083181386,0.160274077,0.074753108
4 Dec. 2012,95,0.598520462,0.718785823,0.011761994,0.007359071,0.009092404,0.147246977,0.28121069,0.188242503,,0.07548519,0.139702646,0.006714988,0.001185159,0.006723723,0.038509537,0.056601506,0.069642815,,0.86431644,1.041527856,0.016984572,0.010636901,0.01313034,0.21134162,0.403445543,0.2700598,,0.10812159,0.222256004,0.009630022,0.001747379,0.009735747,0.05755487,0.08728587,0.101122393
18 Dec. 2012,109,0.428635047,0.506821692,0.008969708,0.0059377,0.010012578,0.14282377,0.254456567,0.164994333,,0.072204787,0.086021368,0.001493235,0.003334571,0.003443902,0.043673035,0.047495834,0.026503275,,0.563436538,0.667849969,0.01187408,0.007577214,0.013307264,0.180005227,0.317492807,0.210659667,,0.105555698,0.129964478,0.002480857,0.003898668,0.005430503,0.057604101,0.021400496,0.050953462
8 Jan. 2013,130,0.281545083,0.25407974,0.004890012,0.005130333,0.015710586,0.242949733,0.471236335,0.313196095,,0.076768694,0.084948416,0.00208725,0.002299094,0.010886261,0.057026275,0.088447881,0.097943253,,0.416662687,0.374309794,0.007238758,0.007471748,0.022743995,0.36290805,0.70898159,0.483873925,,0.097685609,0.104619497,0.002961973,0.00317986,0.014321262,0.081734269,0.163457736,0.223095116
22 Jan. 2013,144,0.213964232,0.227160819,0.004521827,0.006127452,0.009514931,0.201334403,0.398868068,0.19941366,,0.038120148,0.031196316,0.001327171,0.003279869,0.002058904,0.021007133,0.056550255,0.050747325,,0.348562555,0.369040281,0.007261794,0.009361773,0.015514937,0.320082093,0.637668183,0.316073528,,0.119752277,0.108743453,0.002816746,0.003727507,0.005830009,0.051633031,0.140546913,0.087079044
5 Feb. 2013,158,0.191566321,0.183210802,0.005145752,0.004663903,0.006620011,0.115028525,0.23359871,0.152130178,,0.083702388,0.076714964,0.003951226,0.003292621,0.004416057,0.079407718,0.093649653,0.07280047,,0.270675568,0.258111229,0.00703623,0.006495736,0.009154344,0.160088333,0.332698615,0.215564705,,0.099973265,0.082551974,0.004836412,0.004261035,0.005532241,0.093838645,0.10200948,0.081573393
19 Feb. 2013,172,0.192005372,0.192303826,0.003737655,0.003142187,0.006695136,0.136949488,0.24970644,0.15892034,,0.057639723,0.048999813,0.001557243,0.000950918,0.002205372,0.045742956,0.048811793,0.01930599,,0.299293713,0.301689231,0.00573311,0.005050844,0.010498924,0.217888128,0.388958953,0.24863346,,0.08867462,0.087371566,0.001988665,0.002030365,0.003728929,0.092176997,0.073531581,0.039276734
