date,K27.I.FUS3,K27.II.FUS3,K27.III.FUS3,K27.IV.FUS3,K27.V.FUS3,K27.VI.FUS3,K27.VII.FUS3,K27.VIII.FUS3,K27.I.STM,K27.II.STM,K27.III.STM,K27.IV.STM,K27.V.STM,K27.VI.STM,K27.VII.STM,K27.VIII.STM,K4.I.ACT2,K4.II.ACT2,K4.III.ACT2,K4.IV.ACT2,K4.V.ACT2,K4.VI.ACT2,K4.VII.ACT2,K4.VIII.ACT2,K4.I.PP2AA3,K4.II.PP2AA3,K4.III.PP2AA3,K4.IV.PP2AA3,K4.V.PP2AA3,K4.VI.PP2AA3,K4.VII.PP2AA3,K4.VIII.PP2AA3
120925,0.018214312,0.034874034,0.017396484,0.010435622,0.008351792,0.016706479,0.002927729,0.0050428,0.033055313,0.06328936,0.031571121,0.018938556,0.015156823,0.030318901,0.005313239,0.009151668,1.099547638,1.157950773,0.151165945,0.054889526,0.06852706,0.119208044,0.033727704,0.025741389,1.056408932,1.112520729,0.145235231,0.052736037,0.065838529,0.114531138,0.03240446,0.024731473
120925,0.023215364,0.105084746,0.027376747,0.02427451,0.012495202,0.011604278,0.012786501,0.008274164,0.024012012,0.108690784,0.028316195,0.025107502,0.012923981,0.012002485,0.013225277,0.008558097,1.273687298,0.811439659,0.1736575,0.081052615,0.057631982,0.058273646,0.052324612,0.039703517,1.273903253,0.811577239,0.173686944,0.081066358,0.057641754,0.058283526,0.052333484,0.039710249
120925,0.030592239,0.080840336,0.011963947,0.019456877,0.00875518,0.009793574,0.00284517,0.008762651,0.037693822,0.099606349,0.014741219,0.023973534,0.010787579,0.012067023,0.003505638,0.010796785,0.991666196,0.814004808,0.112092465,0.060808055,0.044462721,0.062663601,0.043235665,0.049717567,1.203654237,0.988014253,0.136054422,0.073806966,0.053967497,0.076059171,0.052478134,0.060345669
120925,0.061343961,0.206238243,0.029351637,0.010457735,0.007605207,0.005298888,0.003191029,0.008012742,0.056514022,0.19,0.027040625,0.009634342,0.007006408,0.004881678,0.002939782,0.007381856,0.870202885,0.657087839,0.124462321,0.047287931,0.029263337,0.037610425,0.045049738,0.041492786,0.915322235,0.691157338,0.130915596,0.049739773,0.030780619,0.039560496,0.047385532,0.043644156
121023,0.007576371,0.049379135,0.012336216,0.013784612,0.006441571,0.002618187,0.004170504,0.010477026,0.010073663,0.065655281,0.016402428,0.018328238,0.008564815,0.003481183,0.005545169,0.013930419,0.883636641,0.7133691,0.078553216,0.035135835,0.033698694,0.04955434,0.07676101,0.053758801,1.005147684,0.811466236,0.089355262,0.039967449,0.038332684,0.056368679,0.087316605,0.061151305
121023,0.029939168,0.056222048,0.007521382,0.0038188,0.006492584,0.003779931,0.006369287,0.009189796,0.070876233,0.133096784,0.01780568,0.009040404,0.015370163,0.008948388,0.015078277,0.021755385,0.766014446,0.6487877,0.063964143,0.01816699,0.025309511,0.040767908,0.087193472,0.064065604,0.982526842,0.832166199,0.082043476,0.023301852,0.032463192,0.052290873,0.111838526,0.082173614
121023,0.020205108,0.042623583,0.01401079,0.009713612,0.009261178,0.004275249,0.002803888,0.009340573,0.020747865,0.043768553,0.014387153,0.009974543,0.009509955,0.004390092,0.002879207,0.009591483,0.784486468,0.636255514,0.050266849,0.027253803,0.02407327,0.050949306,0.064327747,0.046647651,1.099970295,0.892127772,0.070481828,0.03821401,0.033754415,0.071438738,0.090197363,0.065407158
121023,0.025948189,0.078567362,0.015285205,0.013581768,0.017013889,0.007844378,0.006695121,0.013597541,0.025206813,0.076322581,0.014848485,0.013193717,0.016527778,0.007620253,0.006503831,0.01320904,0.716476667,0.807828924,0.048116325,0.028429908,0.041219309,0.071682549,0.118610358,0.057482384,0.955231144,1.07702509,0.064150327,0.037903723,0.05495499,0.09556962,0.158135377,0.076637476
121106,0.030383523,0.028814103,0.010972368,0.007301927,0.010320017,0.002146536,0.000604653,0.003613843,0.027626953,0.02619992,0.009976891,0.006639454,0.009383725,0.00195179,0.000549795,0.003285974,0.988327897,0.929592739,0.044898268,0.018790233,0.024715463,0.015629862,0.021305721,0.023632325,0.919407725,0.864768411,0.041767327,0.017479913,0.022991952,0.014539927,0.019819986,0.021984346
121106,0.047065909,0.042439091,0.01334234,0.010805195,0.011376623,0.004123388,0.004123318,0.001642844,0.051451471,0.046393529,0.014585568,0.011812014,0.012436687,0.004507601,0.004507525,0.001795923,0.921097561,0.957164634,0.052133378,0.019817073,0.027642276,0.033648855,0.089957502,0.040929123,1.086936791,1.129497569,0.061519745,0.023385043,0.032619137,0.039707171,0.106153922,0.048298217
