sma,coef.K27.I.FUS3,r.sqr.K27.I.FUS3,aic.K27.I.FUS3,loglik.K27.I.FUS3,coef.K27.II.FUS3,r.sqr.K27.II.FUS3,aic.K27.II.FUS3,loglik.K27.II.FUS3,coef.K27.III.FUS3,r.sqr.K27.III.FUS3,aic.K27.III.FUS3,loglik.K27.III.FUS3,coef.K27.IV.FUS3,r.sqr.K27.IV.FUS3,aic.K27.IV.FUS3,loglik.K27.IV.FUS3,coef.K27.V.FUS3,r.sqr.K27.V.FUS3,aic.K27.V.FUS3,loglik.K27.V.FUS3,coef.K27.VI.FUS3,r.sqr.K27.VI.FUS3,aic.K27.VI.FUS3,loglik.K27.VI.FUS3,coef.K27.VII.FUS3,r.sqr.K27.VII.FUS3,aic.K27.VII.FUS3,loglik.K27.VII.FUS3,coef.K27.VIII.FUS3,r.sqr.K27.VIII.FUS3,aic.K27.VIII.FUS3,loglik.K27.VIII.FUS3,coef.K27.I.STM,r.sqr.K27.I.STM,aic.K27.I.STM,loglik.K27.I.STM,coef.K27.II.STM,r.sqr.K27.II.STM,aic.K27.II.STM,loglik.K27.II.STM,coef.K27.III.STM,r.sqr.K27.III.STM,aic.K27.III.STM,loglik.K27.III.STM,coef.K27.IV.STM,r.sqr.K27.IV.STM,aic.K27.IV.STM,loglik.K27.IV.STM,coef.K27.V.STM,r.sqr.K27.V.STM,aic.K27.V.STM,loglik.K27.V.STM,coef.K27.VI.STM,r.sqr.K27.VI.STM,aic.K27.VI.STM,loglik.K27.VI.STM,coef.K27.VII.STM,r.sqr.K27.VII.STM,aic.K27.VII.STM,loglik.K27.VII.STM,coef.K27.VIII.STM,r.sqr.K27.VIII.STM,aic.K27.VIII.STM,loglik.K27.VIII.STM,coef.K4.I.ACT2,r.sqr.K4.I.ACT2,aic.K4.I.ACT2,loglik.K4.I.ACT2,coef.K4.II.ACT2,r.sqr.K4.II.ACT2,aic.K4.II.ACT2,loglik.K4.II.ACT2,coef.K4.III.ACT2,r.sqr.K4.III.ACT2,aic.K4.III.ACT2,loglik.K4.III.ACT2,coef.K4.IV.ACT2,r.sqr.K4.IV.ACT2,aic.K4.IV.ACT2,loglik.K4.IV.ACT2,coef.K4.V.ACT2,r.sqr.K4.V.ACT2,aic.K4.V.ACT2,loglik.K4.V.ACT2,coef.K4.VI.ACT2,r.sqr.K4.VI.ACT2,aic.K4.VI.ACT2,loglik.K4.VI.ACT2,coef.K4.VII.ACT2,r.sqr.K4.VII.ACT2,aic.K4.VII.ACT2,loglik.K4.VII.ACT2,coef.K4.VIII.ACT2,r.sqr.K4.VIII.ACT2,aic.K4.VIII.ACT2,loglik.K4.VIII.ACT2,coef.K4.I.PP2AA3,r.sqr.K4.I.PP2AA3,aic.K4.I.PP2AA3,loglik.K4.I.PP2AA3,coef.K4.II.PP2AA3,r.sqr.K4.II.PP2AA3,aic.K4.II.PP2AA3,loglik.K4.II.PP2AA3,coef.K4.III.PP2AA3,r.sqr.K4.III.PP2AA3,aic.K4.III.PP2AA3,loglik.K4.III.PP2AA3,coef.K4.IV.PP2AA3,r.sqr.K4.IV.PP2AA3,aic.K4.IV.PP2AA3,loglik.K4.IV.PP2AA3,coef.K4.V.PP2AA3,r.sqr.K4.V.PP2AA3,aic.K4.V.PP2AA3,loglik.K4.V.PP2AA3,coef.K4.VI.PP2AA3,r.sqr.K4.VI.PP2AA3,aic.K4.VI.PP2AA3,loglik.K4.VI.PP2AA3,coef.K4.VII.PP2AA3,r.sqr.K4.VII.PP2AA3,aic.K4.VII.PP2AA3,loglik.K4.VII.PP2AA3,coef.K4.VIII.PP2AA3,r.sqr.K4.VIII.PP2AA3,aic.K4.VIII.PP2AA3,loglik.K4.VIII.PP2AA3
1,-3.61786437814559,0.559458341018762,288.718969864392,-141.359484932196,-3.17374622129116,0.495927199022585,287.381598601312,-140.690799300656,-2.31051286138028,0.228543612405653,400.456644466612,-197.228322233306,-1.7202453371414,0.13447157924559,411.542456089696,-202.771228044848,-1.09266567734254,0.0504563195578194,444.5810408941,-219.29052044705,-0.811155297465102,0.026567329334206,454.845407021658,-224.422703510829,-0.831071060649718,0.0278951416253307,447.239148047989,-220.619574023994,-0.540251471685639,0.0303044195543195,267.080540957414,-130.540270478707,-3.47476930592108,0.53979360663567,288.467099099989,-141.233549549994,-3.03065114321857,0.470867944974155,289.00128826625,-141.500644133125,-2.16741778892892,0.209872459050823,396.71169403507,-195.355847017535,-1.57715025235811,0.117110947302466,408.421611007567,-201.210805503783,-0.949570602646864,0.0391346204944358,441.625423978089,-217.812711989045,-0.671191507288459,0.0185227724434556,452.885489902736,-223.442744951368,-0.688161203839778,0.0193659853675122,446.511127858612,-220.255563929306,-0.400287666151658,0.0166874652702105,269.234384471759,-131.61719223588,1.63960648220993,0.630143585412484,-86.6258433728526,46.3129216864263,1.62434301638766,0.597571174278479,-62.871434270622,34.435717135311,2.9866192918135,0.728234163090515,62.6786813607571,-28.3393406803786,1.58747243972717,0.481621315766386,21.7250312157111,-7.86251560785556,0.882888882786161,0.234555724892729,8.88849455640436,-1.44424727820218,-2.2496493913728,0.586155599707693,76.33817056297,-35.169085281485,-2.74168105876781,0.650033577542384,100.822423659854,-47.4112118299269,-2.44123576962431,0.669138327359522,38.1418299834146,-16.0709149917073,1.40437099975538,0.587178597117925,-112.468766739252,59.2343833696261,1.38910753429793,0.554897588993863,-90.4730238249256,48.2365119124628,2.75138380676366,0.717628409234863,40.4542158325744,-17.2271079162872,1.35223695826729,0.42563136258038,2.80186929974779,1.59906535012611,0.647653400773609,0.151757128079555,-7.42450024573658,6.71225012286829,-2.48291410607497,0.627478318383344,81.0898573987814,-37.5449286993907,-2.9752443234499,0.676321077653892,109.841226809575,-51.9206134047873,-2.67452333188423,0.701465927576957,44.5513753328311,-19.2756876664155
2,-3.53498615316279,0.569613104004915,284.054879731759,-139.027439865879,-3.1036168889264,0.505767707505374,283.438584674046,-138.719292337023,-2.25300017197343,0.231748059546924,399.624161662044,-196.812080831022,-1.70113684069917,0.140239248661438,410.20524468298,-202.10262234149,-1.08683934985572,0.0532369325119742,443.994508161444,-218.997254080722,-0.827526099861707,0.0295267635271788,454.242529669656,-224.121264834828,-0.878885063538725,0.0330673850994079,446.193513665714,-220.096756832857,-0.578583609172857,0.0371158037007557,265.684831800516,-129.842415900258,-3.40035527852925,0.551271733358052,283.415586633109,-138.707793316554,-2.9689860092198,0.481931021586536,284.775361110262,-139.387680555131,-2.11836929704476,0.213803534481737,395.714162166203,-194.857081083102,-1.56650595416184,0.12321307719228,407.034502372795,-200.517251186398,-0.952208471813773,0.0419673973164266,441.034922782897,-217.517461391449,-0.695690563033635,0.0212499481330936,452.334552630706,-223.167276315353,-0.74316247400029,0.0239392316578066,445.594931921605,-219.797465960803,-0.44674805169538,0.0221964671161467,268.121971746484,-131.060985873242,1.6018095124454,0.641391725682498,-92.8026887299745,49.4013443649872,1.59338945407166,0.613224326887738,-70.8061106292458,38.4030553146229,2.90615519177801,0.735343522493476,57.3770557513006,-25.6885278756503,1.52097055172115,0.471494110474282,25.594615872494,-9.797307936247,0.862912592762777,0.238951028549567,7.73675259791626,-0.868376298958129,-2.16131092821533,0.57542926751853,81.4047052044906,-37.7023526022453,-2.63210775102276,0.63868661274349,107.108393518981,-50.5541967594907,-2.35815009824484,0.664888042002364,40.6563967624759,-17.328198381238,1.36991565458854,0.595848044572244,-116.713592009431,61.3567960047157,1.36149559645143,0.568479667161701,-96.6709762397335,51.3354881198667,2.67426133094232,0.723013336407474,36.6033074061513,-15.3016537030756,1.28907669165165,0.412502779879211,7.32188902915971,-0.660944514579853,0.631018738989073,0.153634821837638,-7.86771648714165,6.93385824357082,-2.3912982956028,0.61903762760245,85.5261203281521,-39.763060164076,-2.86207519145829,0.667188094472559,115.322838114144,-54.6614190570722,-2.58804050759475,0.699463591770821,45.8682875676485,-19.9341437838243
3,-3.55686698387586,0.569351515927201,284.176402304149,-139.088201152074,-3.11980181802227,0.504556252841341,283.928221775714,-138.964110887857,-2.24864827443821,0.227917363139631,400.618933670957,-197.309466835478,-1.6931297079229,0.13715518538326,410.921384612933,-202.460692306467,-1.08208835392371,0.0521012876442857,444.234264938251,-219.117132469126,-0.816164286303625,0.0283719495497763,454.477999566117,-224.238999783059,-0.865317618398688,0.0319136078101302,446.42724819201,-220.213624096005,-0.596594763619046,0.0389822632800987,265.300655137135,-129.650327568568,-3.42541236866477,0.552310820035545,282.951924464634,-138.475962232317,-2.98834719789864,0.482027020464276,284.738297407474,-139.369148703737,-2.11719365806242,0.210849899270466,396.464127598706,-195.232063799353,-1.56167508094835,0.120896787343455,407.562164359299,-200.78108217965,-0.950633736198668,0.0412966758252495,441.17489438966,-217.58744719483,-0.687341539726833,0.0204904922660569,452.488130095424,-223.244065047712,-0.733678976777735,0.0232297180543863,445.737355581214,-219.868677790607,-0.467771994298292,0.0240385636650043,267.748605215199,-130.874302607599,1.59696528264533,0.629409452711807,-86.2292542967775,46.1146271483888,1.58615861477955,0.59994221483912,-64.0532844986823,35.0266422493411,2.90983273161012,0.727829092663326,62.9765619554073,-28.4882809777037,1.53189539886213,0.472208260217706,25.3241807858589,-9.66209039292947,0.852266867568074,0.230126798856191,10.0423766401241,-2.02118832006204,-2.17405346540327,0.574493787506594,81.8404895607868,-37.9202447803934,-2.66348723569658,0.645609235156252,103.29732397815,-48.6486619890751,-2.37925733586406,0.667552547111271,39.0837718082901,-16.5418859041451,1.36145829804825,0.5810282425563,-109.511076321045,57.7555381605226,1.35065163039367,0.552344257678043,-89.3290014406717,47.6645007203358,2.6743257414264,0.713851577127592,43.1115630352556,-18.5557815176278,1.29638841465305,0.411889144082131,7.53067828990636,-0.765339144953181,0.616759889530058,0.144903237031857,-5.81497319711511,5.90748659855755,-2.40772141567969,0.619226392335306,85.4279881173893,-39.7139940586946,-2.8970943766129,0.674837962212996,110.741830404799,-52.3709152023993,-2.61288129886344,0.703168368888584,43.4247338400336,-18.7123669200168
4,-3.57648578690113,0.57123477083404,283.299870830545,-138.649935415272,-3.14383840524912,0.508431446706042,282.357739310576,-138.178869655288,-2.24994938621214,0.226431187359419,401.003542047882,-197.501771023941,-1.69132476419715,0.135813262560564,411.232189147143,-202.616094573571,-1.09386496003722,0.0528331892289598,444.079779172533,-219.039889586267,-0.795996256106069,0.0267653697467119,454.805120731553,-224.402560365777,-0.837702078490495,0.0297683239236181,446.861104554727,-220.430552277364,-0.587031201312977,0.0374324056196123,265.619717544421,-129.809858772211,-3.44451716395042,0.554205625176221,282.103645625675,-138.051822812837,-3.01186977731026,0.485890101319039,283.241092492229,-138.620546246114,-2.11798076156502,0.209388413281584,396.834179972413,-195.417089986206,-1.55935612917719,0.119613560362167,407.853891498957,-200.926945749479,-0.961896334574342,0.0419567252711924,441.03715067906,-217.51857533953,-0.666506941383869,0.0191088149575962,452.767228295482,-223.383614147741,-0.705836372727865,0.021398840602267,446.104397952702,-220.052198976351,-0.457541863530259,0.0228096670674581,267.997763076099,-130.99888153805,1.59464369628708,0.622767624637886,-82.6765401334862,44.3382700667431,1.58060264976303,0.591177640449205,-59.7189378203467,32.8594689101733,2.93392199000804,0.734254946587356,58.1980016732826,-26.0990008366413,1.54651629166091,0.477574082642749,23.2804638173439,-8.64023190867194,0.846118197154786,0.225078727650528,11.349499176093,-2.6747495880465,-2.17840691264337,0.573315788902685,82.3878880428127,-38.1939440214064,-2.6790490578665,0.64924635640217,101.265061561577,-47.6325307807886,-2.39169337676208,0.670374939037397,37.4041534403394,-15.7020767201697,1.35236892816103,0.568899195085585,-103.803389143521,54.9016945717605,1.33832788190097,0.538151550325219,-83.0865411290003,44.5432705645001,2.69164721496321,0.717582741012718,40.4865594047001,-17.2432797023501,1.30424152548247,0.413697127295785,6.91488690467498,-0.457443452337492,0.603843434359771,0.137832278500409,-4.16793546773194,5.08396773386597,-2.41880631524918,0.621169563790964,84.4149635275424,-39.2074817637712,-2.91939012513117,0.681142818849524,106.884503159671,-50.4422515798354,-2.63208873470998,0.709128864951567,39.4286390289148,-16.7143195144574
5,-3.6334122876114,0.583654573020222,277.421021081646,-135.710510540823,-3.20448180876806,0.522940765873985,276.365590543812,-135.182795271906,-2.29440530424194,0.233107328050994,399.269988159872,-196.634994079936,-1.73051559051391,0.140755087997941,410.085212652141,-202.042606326071,-1.13246325345071,0.0560599294580435,443.397270237184,-218.698635118592,-0.825972963363812,0.0284860516153498,454.454746289699,-224.227373144849,-0.856999816130398,0.0308388947818586,446.644715268811,-220.322357634405,-0.605386713255147,0.0393496192495482,265.224953737735,-129.612476868868,-3.50421761968137,0.567833832184385,275.894117484958,-134.947058742479,-3.07528713548757,0.501489583911196,277.078578648533,-135.539289324267,-2.16521063409471,0.216637597322516,394.991904217624,-194.495952108812,-1.60132090992933,0.12487383432373,406.655315154013,-200.327657577007,-1.0032685828111,0.0451860494470244,440.361861964124,-217.180930982062,-0.698751328208666,0.0207596052233744,452.433723592771,-223.216861796386,-0.727633412603437,0.0225096940836254,445.88178330547,-219.940891652735,-0.478165053765249,0.0246242116334165,267.629755126389,-130.814877563194,1.60756952082066,0.626560679501561,-84.697709795812,45.348854897906,1.59149172551494,0.593343599563598,-60.7813636315629,33.3906818157815,2.97525009585635,0.747517932931029,47.9585659377946,-20.9792829688973,1.56895839116763,0.48660829438687,19.7916485541163,-6.89582427705813,0.842621859586862,0.220984965250819,12.4032802999927,-3.20164014999635,-2.18905436071062,0.573474588261792,82.314184529339,-38.1570922646695,-2.69596573887714,0.651244333628232,100.139693883724,-47.0698469418618,-2.4025493348717,0.66980512280132,37.7444093796367,-15.8722046898183,1.36215635136206,0.571378341971126,-104.956856158383,55.4784280791913,1.3460785563297,0.538946007606229,-83.430871121438,44.715435560719,2.7298369205675,0.7306914391447,30.980993295653,-12.4904966478265,1.32354522705541,0.421763443276743,4.14419669609418,0.927901651952912,0.59720869457161,0.133468686256637,-3.15825097724339,4.57912548862169,-2.43258209249576,0.622340675388824,83.8019207776595,-38.9009603888298,-2.9394396517091,0.683990455096124,105.117240583985,-49.5586202919927,-2.64613489834224,0.709651522687062,39.0743371455782,-16.5371685727891
6,-3.74175239664707,0.602353729395102,268.230535830999,-131.1152679155,-3.30533231859341,0.541429754237687,268.460155342741,-131.230077671371,-2.4044698120957,0.249131870808289,395.046624843924,-194.523312421962,-1.82495573972967,0.152332553915918,407.37209304567,-200.686046522835,-1.22552441642147,0.0638885787311559,441.731636172219,-217.865818086109,-0.926724107152949,0.0348710211461648,453.149158635992,-223.574579317996,-0.951061648674704,0.0369578804432234,445.403308377896,-219.701654188948,-0.666258851173891,0.0463472422938559,263.777392475099,-128.888696237549,-3.61261257957245,0.587295789868439,266.678312711443,-130.339156355722,-3.17619249579615,0.520570059049566,269.273236859161,-131.63661842958,-2.27532999273807,0.232807674032182,390.820322875181,-192.410161437591,-1.69581590909427,0.136284695876876,404.030343169934,-199.015171584967,-1.09638459623819,0.0525134776084896,438.821103392085,-216.410551696043,-0.800044554872793,0.0264645976574501,451.276814830052,-222.638407415026,-0.822365195508474,0.0279786102985664,444.78211266244,-219.39105633122,-0.53957927241057,0.0304916085866501,266.435084376017,-130.217542188008,1.63386785380837,0.629843203322422,-86.4634775653309,46.2317387826655,1.61475466562847,0.594409263726566,-61.3061619232452,33.6530809616226,3.04228507269806,0.760587973881389,37.3277262560948,-15.6638631280474,1.61264346822042,0.500274492046507,14.3956187689252,-4.19780938446261,0.880041245048422,0.2345731602831,8.88393887821492,-1.44196943910746,-2.18267501124123,0.554127763675748,91.0975631626038,-42.5487815813019,-2.69949869007965,0.634419696390885,109.421227395727,-51.7106136978635,-2.41198647161234,0.655982909766221,45.8230484045874,-19.9115242022937,1.37987804268948,0.570592743275677,-104.590621920136,55.2953109600679,1.36076485476159,0.535976312635312,-82.1467821255342,44.0733910627671,2.78829525619946,0.741844896779428,22.5215514879027,-8.26077574395137,1.35865366203084,0.432497767632064,0.396522776757408,2.8017386116213,0.626051438541277,0.14273226534468,-5.30784452132767,5.65392226066384,-2.43486572852272,0.606001755569433,92.1879973193407,-43.0939986596703,-2.9516714249589,0.67011935536888,113.580062636994,-53.790031318497,-2.66428662084513,0.699072180122742,46.1246888695156,-20.0623444347578
7,-3.71803646492382,0.61097852304098,263.844877833749,-128.922438916875,-3.28721686770022,0.550130488225052,264.628971172635,-129.314485586318,-2.40875286618191,0.256845678144235,392.981361132296,-193.490680566148,-1.83393329967983,0.158034630660539,406.022190667,-200.0110953335,-1.24152931093216,0.067358186622638,440.988978059016,-217.494489029508,-0.952108749139466,0.0377932355011813,452.548745461839,-223.274372730919,-0.970073718009288,0.0394944979330754,444.886370496429,-219.443185248214,-0.67293612205659,0.0485470466636164,263.320135477477,-128.660067738739,-3.58898440507994,0.595462466988045,262.680989253752,-128.340494626876,-3.1581648021603,0.528727957503111,265.840784278882,-129.920392139441,-2.27970080407215,0.240082970309691,388.914669873231,-191.457334936615,-1.70488122624096,0.141506072687645,402.817623434511,-198.408811717256,-1.11247724773537,0.055542362219913,438.18072779055,-216.090363895275,-0.825648117548807,0.0289403751220593,450.772643837127,-222.386321918563,-0.841665749915457,0.0301032515608913,444.35322758701,-219.176613793505,-0.546475463995108,0.0321135540742791,266.103561574998,-130.051780787499,1.61700402490422,0.633749945245107,-88.5855537338653,47.2927768669327,1.59799484389426,0.598026408372619,-63.0978056155717,34.5489028077858,3.01288490253016,0.766323009164576,32.4784771427323,-13.2392385713661,1.60258386546212,0.507540040577101,11.4664573810583,-2.73322869052914,0.884593367632276,0.243476340249354,6.54397275468565,-0.271986377342825,-2.14301798759945,0.548153625000887,93.7329032457448,-43.8664516228724,-2.65473098747815,0.629426990030603,112.093437696967,-53.0467188484836,-2.37350890323972,0.651731829374704,48.2424942918368,-21.1212471459184,1.36457717220355,0.573242236428585,-105.828468152041,55.9142340760204,1.34556799143537,0.538378695347698,-83.1849287701744,44.5924643850872,2.76045804434436,0.746956029650754,18.5220894702834,-6.26104473514171,1.35015701682602,0.438765064235667,-1.82449419295181,3.91224709647591,0.632166518977078,0.149507247792685,-6.89472231667927,6.44736115833964,-2.39374808845632,0.60103482670631,94.6684768850054,-44.3342384425027,-2.9054813917487,0.666110446313274,115.959695494117,-54.9798477470583,-2.62437884839756,0.695917249024964,48.1792878796232,-21.0896439398116
8,-3.72529236511078,0.631044606470652,253.25311767437,-123.626558837185,-3.29851862063977,0.56988543921422,255.647776523767,-124.823888261884,-2.45780815947348,0.275121427833387,388.001447130777,-191.000723565389,-1.89269086176231,0.173175018873514,402.39302211431,-198.196511057155,-1.31330456725827,0.0775439681942116,438.792676886141,-216.396338443071,-1.03057654685097,0.0455050271332662,450.955442807636,-222.477721403818,-1.0473868709139,0.047303936793067,443.286268818193,-218.643134409097,-0.711713349336667,0.0558063042578573,261.803671393433,-127.901835696716,-3.59435578076485,0.614460620744356,253.060752864148,-123.530376432074,-3.16758203055204,0.547216417049918,257.836535738574,-125.918267869287,-2.32687157273262,0.257330437498573,384.323061023181,-189.16153051159,-1.76175426406151,0.155459821060931,399.540164554205,-196.770082277103,-1.18236797938051,0.0645487847870834,436.264360098449,-215.132180049224,-0.902121895827561,0.0355060630579473,449.429347300946,-221.714673650473,-0.916912543063299,0.0367067420613762,443.014208486165,-218.507104243082,-0.58325867290598,0.0375947632701853,264.979086608346,-129.489543304173,1.61480470693581,0.650244108749651,-97.8017241845739,51.9008620922869,1.59608835630015,0.613796141133875,-71.1020120479959,38.551006023998,2.98920214447246,0.776064885509703,23.9617894888031,-8.98089474440154,1.59675095364094,0.518374734926994,7.01709671615007,-0.508548358075034,0.888371031884215,0.252638110437701,4.1071161637999,0.946441918100049,-2.10303133827439,0.542814865643306,96.058645523836,-45.029322761918,-2.60848336427331,0.624890694486795,114.490333071507,-54.2451665357537,-2.33102314548498,0.646345496406416,51.2659852329016,-22.6329926164508,1.36547864402929,0.590544300561105,-114.106035844794,60.0530179223971,1.34676229364464,0.554880097472755,-90.4651644303253,48.2325822151626,2.73987607628595,0.757068638978537,10.3652232770777,-2.18261163853883,1.34742489336133,0.449586537206562,-5.71846456297718,5.85923228148859,0.639044972304454,0.157181992496394,-8.70769071915541,7.3538453595777,-2.3507368885311,0.59601937807416,97.1420479543645,-45.5710239771823,-2.85620530637258,0.661930637204181,118.410538825893,-56.2052694129463,-2.57887676730944,0.690955497995003,51.3678145247542,-22.6839072623771
9,-3.79248737039483,0.65020989187455,242.584623981898,-118.292311990949,-3.36305899088731,0.588958375918667,246.576354697624,-120.288177348812,-2.53912583987104,0.291919331056094,383.312221576572,-188.656110788286,-1.97400764261272,0.187279173473655,398.951946551923,-196.475973275962,-1.39395543241524,0.0868522034872435,436.764283844906,-215.382141922453,-1.11671780384973,0.0530870428848676,449.376352858357,-221.688176429178,-1.13895403337547,0.0556136424454721,441.569197691913,-217.784598845956,-0.763972185697554,0.063889710427021,260.101261257657,-127.050630628829,-3.65898422668071,0.633051374084894,243.176455958138,-118.588227979069,-3.22955584130301,0.565529058116059,249.579494905774,-121.789747452887,-2.40562269367571,0.27344331229595,379.936120394031,-186.968060197016,-1.84050448541317,0.168681406124366,396.384323595224,-195.192161797612,-1.26045228488245,0.0729292121917872,434.464545879397,-214.232272939698,-0.985882743296604,0.0421332915122629,448.064154525579,-221.032077262789,-1.00612697344688,0.0439421709371802,441.536468653165,-217.768234326582,-0.633137099442098,0.0440152582687811,263.653743200018,-128.826871600009,1.63872644798464,0.66575630832724,-106.87474715576,56.43737357788,1.61954008564696,0.628289280413195,-78.751901166274,42.375950583137,3.01512649466554,0.784990658239325,15.8268164476234,-4.91340822381172,1.61341570985409,0.526172288858883,3.75258145557402,1.12370927221299,0.902343039740864,0.259131007852142,2.36197333936734,1.81901333031633,-2.09521790170181,0.535515997250714,99.1947083371882,-46.5973541685941,-2.60227804906096,0.618254470111756,117.945076690022,-55.972538345011,-2.32313663658492,0.638295622240911,55.6998217133882,-24.8499108566941,1.38699489001603,0.605756846651686,-121.678207032715,63.8391035163576,1.36780852793711,0.569028234612468,-96.9253866979238,51.4626933489619,2.76339493156123,0.765641173971385,3.18011265533972,1.40994367233014,1.3616841545944,0.456481187047026,-8.23954974818677,7.11977487409339,0.650611484923019,0.161975506697887,-9.84843464836263,7.92421732418132,-2.34539340520912,0.589708716260001,100.211135928775,-47.1055679643875,-2.85244919759704,0.656298527180272,121.665447535171,-57.8327237675857,-2.57342127793902,0.684087217123613,55.6980490615525,-24.8490245307763
10,-3.82501658753937,0.666558941505522,233.011189994059,-113.50559499703,-3.39727834420157,0.605681795264012,238.269099711926,-116.134549855963,-2.6074882494824,0.310245686321136,378.067709709136,-186.033854854568,-2.0437972606108,0.202317792104833,395.216470280317,-194.608235140158,-1.47055005588007,0.0974112945105353,434.43812913181,-214.219064565905,-1.20368935774612,0.0621896498233174,447.463785448043,-220.731892724022,-1.22433156175503,0.0648526602564615,439.642270732364,-216.821135366182,-0.815490727767815,0.0734009187038696,258.079222140646,-126.039611070323,-3.6918779690517,0.649500041406842,234.004202751092,-114.002101375546,-3.26413971971063,0.58220165527132,241.753459287325,-117.876729643662,-2.47434962834728,0.291541940984335,374.890990802266,-184.445495401133,-1.91065862861349,0.183200341613284,392.860471815819,-193.43023590791,-1.33741143325702,0.0827456920549289,432.335512861197,-213.167756430599,-1.07342232167816,0.050362086936126,446.355837195584,-220.177918597792,-1.09217160925906,0.0522538686432781,439.825049688984,-216.912524844492,-0.685223665651353,0.051982846044516,261.996610828685,-127.998305414343,1.65271766143316,0.682442912067357,-117.117294363978,61.5586471819891,1.63385855404135,0.644424118008929,-87.6273488304762,46.8136744152381,3.01643069909,0.7917840441211,9.40567910313618,-1.70283955156809,1.61560632758955,0.531707917304426,1.40226796586131,2.29886601706935,0.917009148028587,0.269705623661756,-0.513247226583641,3.25662361329182,-2.06646163826971,0.524956615664211,103.645553776134,-48.822776888067,-2.57120440311189,0.608395872479356,122.968028289658,-58.4840141448292,-2.29454117207219,0.627627831820858,61.4259348364872,-27.7129674182436,1.39799697640817,0.620194200313289,-129.139765190902,67.569882595451,1.37913786928419,0.582995491871861,-103.514495861324,54.7572479306621,2.76171000942773,0.770658800290764,-1.14839447749887,3.57419723874943,1.3608856445139,0.459494173605674,-9.35133049857729,7.67566524928864,0.662288466342162,0.1691480156557,-11.5675680212297,8.78378401061486,-2.31968077011096,0.581322662135713,104.217307740574,-49.108653870287,-2.82439655874608,0.64858981522756,126.035043408586,-60.0175217042929,-2.54785942520822,0.675894249662249,60.7419741269217,-27.3709870634608
