sma,coef.K27.I.FUS3,r.sqr.K27.I.FUS3,aic.K27.I.FUS3,loglik.K27.I.FUS3,coef.K27.II.FUS3,r.sqr.K27.II.FUS3,aic.K27.II.FUS3,loglik.K27.II.FUS3,coef.K27.III.FUS3,r.sqr.K27.III.FUS3,aic.K27.III.FUS3,loglik.K27.III.FUS3,coef.K27.IV.FUS3,r.sqr.K27.IV.FUS3,aic.K27.IV.FUS3,loglik.K27.IV.FUS3,coef.K27.V.FUS3,r.sqr.K27.V.FUS3,aic.K27.V.FUS3,loglik.K27.V.FUS3,coef.K27.VI.FUS3,r.sqr.K27.VI.FUS3,aic.K27.VI.FUS3,loglik.K27.VI.FUS3,coef.K27.VII.FUS3,r.sqr.K27.VII.FUS3,aic.K27.VII.FUS3,loglik.K27.VII.FUS3,coef.K27.VIII.FUS3,r.sqr.K27.VIII.FUS3,aic.K27.VIII.FUS3,loglik.K27.VIII.FUS3,coef.K27.I.STM,r.sqr.K27.I.STM,aic.K27.I.STM,loglik.K27.I.STM,coef.K27.II.STM,r.sqr.K27.II.STM,aic.K27.II.STM,loglik.K27.II.STM,coef.K27.III.STM,r.sqr.K27.III.STM,aic.K27.III.STM,loglik.K27.III.STM,coef.K27.IV.STM,r.sqr.K27.IV.STM,aic.K27.IV.STM,loglik.K27.IV.STM,coef.K27.V.STM,r.sqr.K27.V.STM,aic.K27.V.STM,loglik.K27.V.STM,coef.K27.VI.STM,r.sqr.K27.VI.STM,aic.K27.VI.STM,loglik.K27.VI.STM,coef.K27.VII.STM,r.sqr.K27.VII.STM,aic.K27.VII.STM,loglik.K27.VII.STM,coef.K27.VIII.STM,r.sqr.K27.VIII.STM,aic.K27.VIII.STM,loglik.K27.VIII.STM,coef.K4.I.ACT2,r.sqr.K4.I.ACT2,aic.K4.I.ACT2,loglik.K4.I.ACT2,coef.K4.II.ACT2,r.sqr.K4.II.ACT2,aic.K4.II.ACT2,loglik.K4.II.ACT2,coef.K4.III.ACT2,r.sqr.K4.III.ACT2,aic.K4.III.ACT2,loglik.K4.III.ACT2,coef.K4.IV.ACT2,r.sqr.K4.IV.ACT2,aic.K4.IV.ACT2,loglik.K4.IV.ACT2,coef.K4.V.ACT2,r.sqr.K4.V.ACT2,aic.K4.V.ACT2,loglik.K4.V.ACT2,coef.K4.VI.ACT2,r.sqr.K4.VI.ACT2,aic.K4.VI.ACT2,loglik.K4.VI.ACT2,coef.K4.VII.ACT2,r.sqr.K4.VII.ACT2,aic.K4.VII.ACT2,loglik.K4.VII.ACT2,coef.K4.VIII.ACT2,r.sqr.K4.VIII.ACT2,aic.K4.VIII.ACT2,loglik.K4.VIII.ACT2,coef.K4.I.PP2AA3,r.sqr.K4.I.PP2AA3,aic.K4.I.PP2AA3,loglik.K4.I.PP2AA3,coef.K4.II.PP2AA3,r.sqr.K4.II.PP2AA3,aic.K4.II.PP2AA3,loglik.K4.II.PP2AA3,coef.K4.III.PP2AA3,r.sqr.K4.III.PP2AA3,aic.K4.III.PP2AA3,loglik.K4.III.PP2AA3,coef.K4.IV.PP2AA3,r.sqr.K4.IV.PP2AA3,aic.K4.IV.PP2AA3,loglik.K4.IV.PP2AA3,coef.K4.V.PP2AA3,r.sqr.K4.V.PP2AA3,aic.K4.V.PP2AA3,loglik.K4.V.PP2AA3,coef.K4.VI.PP2AA3,r.sqr.K4.VI.PP2AA3,aic.K4.VI.PP2AA3,loglik.K4.VI.PP2AA3,coef.K4.VII.PP2AA3,r.sqr.K4.VII.PP2AA3,aic.K4.VII.PP2AA3,loglik.K4.VII.PP2AA3,coef.K4.VIII.PP2AA3,r.sqr.K4.VIII.PP2AA3,aic.K4.VIII.PP2AA3,loglik.K4.VIII.PP2AA3
1,-1.2142664522456,0.488601527301791,318.547782544857,-156.273891272428,-1.07696727163951,0.442733295816957,307.446247380374,-150.723123690187,-0.827942986963606,0.227518549215641,400.722215609477,-197.361107804739,-0.662096213782277,0.1544384998761,406.874594570748,-200.437297285374,-0.469705994658476,0.0722864356784274,439.929339531193,-216.964669765597,-0.407112061519737,0.0521338266328519,449.57557062552,-221.78778531276,-0.39930088657749,0.0489874761190939,442.93960463213,-218.469802316065,-0.257597457209588,0.0536721483164436,262.250704707042,-128.125352353521,-1.16725881771448,0.472251938385929,315.855887842892,-154.927943921446,-1.02995963495461,0.421629781169243,306.796517966803,-150.398258983401,-0.780935351682732,0.211234080928444,396.366737963073,-195.183368981537,-0.615088574759668,0.138098930031166,403.609801304434,-198.804900652217,-0.422698359141734,0.0601217159842014,437.208637256895,-215.604318628448,-0.360879849616613,0.0417147970540176,448.150642348967,-221.075321174483,-0.350960275308143,0.0383184045425617,442.686011035104,-218.343005517552,-0.211365235972778,0.0362463982607532,265.256297719024,-129.628148859512,0.579116570254879,0.609474989699203,-75.7504128816283,40.8752064408142,0.586994817375415,0.605015249704481,-66.6056529521524,36.3028264760762,0.974060606852578,0.600546880745983,139.709802954907,-66.8549014774533,0.513706936212213,0.391009950929679,53.9442116105567,-23.9721058052783,0.301320593318423,0.211814266335846,14.7439640912381,-4.37198204561904,-0.696872316661805,0.438049176138525,136.911179105019,-65.4555895525094,-0.84598984324884,0.482834089007112,177.756148098466,-85.8780740492328,-0.742100024230039,0.482515989857055,126.255644403813,-60.1278222019063,0.497979538658195,0.572391462944074,-105.430150116745,55.7150750583725,0.50585778573585,0.570507844799211,-97.6132071211497,51.8066035605748,0.892923575355023,0.585989032144892,116.987928751173,-55.4939643755865,0.432569898482054,0.337679150558075,31.2976072405306,-12.6488036202653,0.220183566404559,0.13598695257034,-3.74032633982667,4.87016316991333,-0.777341141505549,0.478995949996801,147.511446938662,-70.7557234693312,-0.926470886374475,0.511607501859303,190.880592398124,-92.4402961990621,-0.822497006189094,0.51769361894509,139.051386009115,-66.5256930045575
2,-1.46888943765965,0.542863123645826,296.114538610892,-145.057269305446,-1.30337528671372,0.49233582170177,288.801490323704,-141.400745161852,-0.987792065428221,0.245885155757164,395.909550244456,-194.954775122228,-0.782795935809728,0.163906353451847,404.622538640467,-199.311269320234,-0.550231137200775,0.0753147830849875,439.27540904168,-216.63770452084,-0.456759593995326,0.0498788522540812,450.046053364903,-222.023026682452,-0.453528269297139,0.0490137532663511,442.934188938974,-218.467094469487,-0.304757882470598,0.0570985606611826,261.532496079484,-127.766248039742,-1.41606998144493,0.527708577821529,293.651328069458,-143.825664034729,-1.25055582781591,0.471935162765922,288.597496631184,-141.298748315592,-0.934972608219781,0.229888314777538,391.579928715721,-192.789964357861,-0.729976473868078,0.147678753846927,401.374403140378,-197.687201570189,-0.497411680264368,0.063210248882223,436.550335281556,-215.275167640778,-0.404233151454629,0.0397812251625813,448.549752664677,-221.274876332339,-0.39965544309892,0.0385378673454829,442.64127729115,-218.320638645575,-0.252231432269468,0.0392324638108335,264.641868039119,-129.32093401956,0.644877340105169,0.57380382296149,-58.2688657509026,32.1344328754513,0.650772804108955,0.564601303824395,-47.1226535635448,26.5613267817724,1.14812332599916,0.633486457184043,122.497615479519,-58.2488077397596,0.601837083805501,0.407474220532048,48.4627023951421,-21.2313511975711,0.324438568855324,0.186443751168687,21.0802248502643,-7.54011242513215,-0.844462638603775,0.488038872246645,118.464381545739,-56.2321907728693,-1.02838705421922,0.541839222339462,153.890865084478,-73.9454325422389,-0.908431143710902,0.548573567977773,99.3521014151032,-46.6760507075516,0.547983599062022,0.526248134997273,-84.9350403032972,45.4675201516486,0.553879063044975,0.519301932981998,-75.0860316391218,40.5430158195609,1.05122958322709,0.616653718626949,101.597177498296,-47.7985887491481,0.504943338775341,0.349351208794245,27.7415872486773,-10.8707936243386,0.227544831197294,0.110267285966007,2.12631894593733,1.93684052703134,-0.940701875737315,0.53221810704131,126.175824547666,-60.0879122738331,-1.12460347386182,0.572481956901907,164.655383367027,-79.3276916835136,-1.00459832789039,0.585939926978426,108.995393431796,-51.4976967158978
3,-1.19243534687877,0.464926209799531,327.598899875256,-160.799449937628,-1.06637517729392,0.428296719434778,312.561481099945,-153.280740549973,-0.794088384484874,0.206510031652429,406.088795819173,-200.044397909586,-0.633628579442224,0.13956303373815,410.36248590036,-202.18124295018,-0.458236996037608,0.0678847814205424,440.876020756187,-217.438010378093,-0.361621017582656,0.0406177665224572,451.966667248884,-222.983333624442,-0.356914917969148,0.0400874930367681,444.765327011655,-219.382663505827,-0.250641978407007,0.0501753605449934,262.980988549579,-128.49049427479,-1.14571081753041,0.448928285768892,324.505075794122,-159.252537897061,-1.01965064576394,0.407737998998745,311.543503086973,-152.771751543487,-0.747363854094679,0.190891030627482,401.459539574928,-197.729769787464,-0.58690404532593,0.124061412005804,406.840898782378,-200.420449391189,-0.411512466298244,0.0562242610743134,438.036275543818,-216.018137771909,-0.314681717718498,0.031320229777367,450.286793563245,-222.143396781623,-0.309500499710761,0.0305217326347538,444.268641273294,-219.134320636647,-0.203702674702622,0.0332436154442471,265.872250479041,-129.936125239521,0.481654615470276,0.415989988206328,4.73480953231786,0.632595233841071,0.487269269705058,0.411361226110759,13.1874572658492,-3.59372863292462,0.904318993672663,0.510746949250995,180.266489364816,-87.1332446824079,0.465948190658254,0.31740936056299,76.7628907079218,-35.3814453539609,0.212772915819105,0.104212014346924,40.3379635145062,-17.1689817572531,-0.690014748948678,0.424710162011613,141.5561869986,-67.7780934992998,-0.835961006429881,0.466976534478658,183.705885860134,-88.852942930067,-0.74663668206736,0.483265298435329,125.970184831137,-59.9850924155685,0.404468367595683,0.372586225941953,-28.7505289764428,17.3752644882214,0.410083021812158,0.369943875336017,-20.9721219440035,13.4860609720017,0.827132740782358,0.49613384301795,156.271569827586,-75.1357849137932,0.388761939990508,0.26912042443266,50.9973275441556,-22.4986637720778,0.135586668485248,0.0508802149674845,15.0491022874437,-4.52455114372183,-0.76678383470503,0.460907624906422,154.269013361131,-74.1345066805656,-0.91270159289627,0.491797547994901,198.713413599044,-96.3567067995222,-0.823314116071037,0.513234013524196,140.864560131688,-67.432280065844
4,-1.30668463474587,0.509839607569757,310.064501083297,-152.032250541648,-1.1682537528228,0.469436353110776,297.625443025277,-145.812721512638,-0.874271678097249,0.228598797186001,400.442337305481,-197.22116865274,-0.696554868801115,0.154024286495745,406.972544148279,-200.48627207414,-0.505458038612951,0.0754292858810353,439.250641718937,-216.625320859469,-0.398255067213098,0.0448964199630801,451.081651767727,-222.540825883863,-0.400541763201794,0.0460043078359939,443.553461786661,-218.77673089333,-0.279510682553655,0.0568669693523036,261.581121998171,-127.790560999085,-1.25557466065145,0.492367844934726,308.083501300703,-151.041750650351,-1.1171437763675,0.44696568883608,297.837690859768,-145.918845429884,-0.82316170278114,0.211480005228487,396.30437151451,-195.152185757255,-0.64544488948854,0.137024587064718,403.858942182874,-198.929471091437,-0.454348063994995,0.0625911286466843,436.682470744817,-215.341235372409,-0.346982713029879,0.0347038751558479,449.593959210718,-221.796979605359,-0.348723983614138,0.0353080312889206,443.298595892986,-218.649297946493,-0.228238324009035,0.0380340266256955,264.888694333254,-129.444347166627,0.518166395109171,0.439670744785987,-3.54390236235154,4.77195118117577,0.521688669766606,0.430611647188134,6.53745947394326,-0.268729736971629,0.983374128764483,0.551540855056245,162.854037939665,-78.4270189698327,0.508588893093935,0.345347144237247,68.4048468401517,-31.2024234200758,0.231932728100059,0.11308026776892,38.3481080856625,-16.1740540428312,-0.735206092414125,0.440287430033893,136.120969026037,-65.0604845130183,-0.895345696374195,0.489230113954452,175.304568574742,-84.652284287371,-0.798712907626309,0.504839845474278,117.568462188409,-55.7842310942044,0.435301969833196,0.394109216299636,-35.7318299353263,20.8659149676631,0.438824244478952,0.386857611611877,-26.4144643444597,16.2072321722298,0.900509698914088,0.537035349389623,139.339576095132,-66.6697880475659,0.425724466984018,0.294723016574895,43.8657081584696,-18.9328540792348,0.149068302943882,0.0561646720991605,13.932441713005,-3.96622085650251,-0.817490622053212,0.478383004170712,147.744251154599,-70.8721255772997,-0.977613809810951,0.515314141740432,189.379764466715,-91.6898822333573,-0.880911503622177,0.536357211287884,131.276750743758,-62.6383753718788
5,-1.47558922241749,0.568686295110321,284.485103060385,-139.242551530192,-1.31812300739343,0.522713889620519,276.460682434414,-135.230341217207,-0.997680273389793,0.260383645196567,392.026938760121,-193.01346938006,-0.793074727316814,0.174645167439303,402.03709258615,-198.018546293075,-0.579894771541023,0.086839632568503,436.767037141198,-215.383518570599,-0.45985930348568,0.0522508897936839,449.551115762685,-221.775557881342,-0.46984864579994,0.0552586394028778,441.642861951347,-217.821430975674,-0.321981603672137,0.065868841542241,259.682205089801,-126.8411025449,-1.41811288424215,0.549384008858809,284.255188267401,-139.127594133701,-1.26064666660957,0.497843241034249,278.536149799782,-136.268074899891,-0.940203933872235,0.241319789173184,388.588890501594,-191.294445250797,-0.73559838322085,0.155672360792265,399.489825568484,-196.744912784242,-0.522418432652144,0.0723806057708004,434.582863524532,-214.291431762266,-0.402252689081848,0.0407112889397902,448.357877776299,-221.17893888815,-0.411639489030595,0.0429462519333844,441.740534265135,-217.870267132568,-0.264374983906585,0.0445441348711392,263.544173936329,-128.772086968164,0.582823734062717,0.486534173140499,-21.0121201587724,13.5060600793862,0.583244687986266,0.470776046916359,-8.09274560693818,7.04637280346909,1.11065283124794,0.61538456324453,132.139314904728,-63.0696574523642,0.58017766817956,0.393091771553743,53.2593442341128,-23.6296721170564,0.27393780671768,0.137980118790778,32.6528780395738,-13.3264390197869,-0.81053187875927,0.467626523888974,126.205501614429,-60.1027508072143,-0.99333008607674,0.526178512777073,160.512128873362,-77.2560644366811,-0.88383872812929,0.540028676563694,103.0461920007,-48.52309600035,0.489474307112759,0.435857915275137,-50.0105503089678,28.0052751544839,0.489895261039544,0.42172194998009,-38.122940701148,22.061470350574,1.01730340001602,0.599483019852324,110.360668171994,-52.1803340859971,0.486828241801727,0.337099549734986,31.472551866058,-12.736275933029,0.180588379893429,0.0720978024168152,10.5273670231926,-2.26368351159629,-0.903170343070402,0.510258635185886,135.25912964011,-64.6295648200551,-1.08594311116907,0.555604562923645,172.28288778624,-83.1414438931201,-0.976405586762749,0.575636893098235,113.837339360783,-53.9186696803914
6,-1.71530299083246,0.637805162054226,249.554425957247,-121.777212978624,-1.53047959571577,0.584886738125109,248.547738431605,-121.273869215802,-1.17492126859758,0.299718113318531,381.097206147216,-187.548603073608,-0.930762346045754,0.19965054034555,395.884105168987,-194.942052584493,-0.686381115406368,0.100975211223541,433.646855892987,-213.823427946493,-0.553381404894045,0.0627373243491225,447.348121089696,-220.674060544848,-0.574021238812672,0.068044296097536,438.972183201533,-216.486091600767,-0.384096487623874,0.0777198067671216,257.154184574687,-125.577092287344,-1.64984493089331,0.617170542292475,251.650007058863,-122.825003529432,-1.46502153274559,0.55803109359458,253.001588260204,-123.500794130102,-1.10946320717613,0.278893983255464,378.430052247107,-186.215026123554,-0.86530427920935,0.178785465417034,393.938578930097,-193.969289465049,-0.620923054364187,0.0848643573844072,431.873020415644,-212.936510207822,-0.488068208442562,0.0496948190158892,446.494914049047,-220.247457024523,-0.507711121489221,0.0538984324087434,439.484647892968,-216.742323946484,-0.318783283566524,0.0536999677367981,261.637652792866,-127.818826396433,0.683862574817419,0.55595685912782,-50.0644713326753,28.0322356663377,0.680910999877573,0.532547071570501,-32.9153532523584,19.4576766261792,1.29244095760771,0.69163329768749,87.9484543419058,-40.9742271709529,0.679911597358113,0.448065351559275,34.269755804969,-14.1348779024845,0.340919677792991,0.177370435178592,23.2984103209457,-8.64920516047283,-0.927444626209539,0.507079503801553,110.96002233789,-52.4800111689451,-1.14166556546632,0.575591497338724,138.815691386554,-66.4078456932772,-1.01272520044228,0.587094327333444,81.7810317701242,-37.8905158850621,0.576586971831208,0.501971793189459,-74.940435796825,40.4702178984125,0.573635396905322,0.47990595673041,-59.3319728481343,32.6659864240671,1.185165351559,0.67530243240775,68.3882731424064,-31.1941365712032,0.572635994092407,0.387104710620209,15.7864071041823,-4.89320355209113,0.233644075817937,0.100165115941245,4.38435655104574,0.807821724477131,-1.0338602064668,0.553752638247803,116.844336886015,-55.4221684430073,-1.24804760483192,0.607721487759817,147.708573485296,-70.854286742648,-1.11908234716938,0.62613226272792,88.8799251587558,-41.4399625793779
7,-1.70671573847485,0.654088653549284,240.354470895724,-117.177235447862,-1.5225405139437,0.599600919874381,241.329807806533,-117.664903903267,-1.17941744213785,0.31285164295829,377.310659903335,-185.655329951668,-0.941811656521166,0.211752667487067,392.836796669243,-193.418398334622,-0.701240585336595,0.109175727325231,431.814170967713,-212.907085483856,-0.574534245334359,0.0698855815277682,445.832238904885,-219.916119452442,-0.592095594649159,0.0747127647134192,437.56469316584,-215.78234658292,-0.392015212785931,0.0836634473861764,255.874042919668,-124.937021459834,-1.64163079486606,0.632962243157596,243.225029571943,-118.612514785971,-1.45745556735248,0.572096009396236,246.533451719141,-120.26672585957,-1.11433249707062,0.291441113007653,374.919452840673,-184.459726420336,-0.876726706210601,0.190121340172408,391.158588845077,-192.579294422538,-0.63615564056539,0.0922750756418073,430.2468380911,-212.12341904555,-0.509563812365478,0.0559791247431279,445.18120451677,-219.590602258385,-0.526044386107394,0.0597121771971745,438.276522367946,-216.138261183973,-0.327044772034557,0.0584085252906868,260.649993994328,-127.324996997164,0.682001266579096,0.572771855279488,-57.7851822379461,31.892591118973,0.678405172977011,0.547600064991427,-39.4617642974174,22.7308821487087,1.28014283101246,0.702876809080289,80.5198884099353,-37.2599442049677,0.675277752324598,0.457835258893817,30.6978071797779,-12.3489035898889,0.343441744012631,0.186462345669809,21.0756536325648,-7.53782681628241,-0.913394716024538,0.508983904616994,110.193566784683,-52.0967833923413,-1.12730516485726,0.580763878672204,136.400048919898,-65.2000244599489,-0.999493211857178,0.591896501417013,79.4764556061721,-36.7382278030861,0.577507047846284,0.521641493549264,-82.9996859438884,44.4998429719442,0.573910954275564,0.497600918477333,-66.2549449865841,36.127472493292,1.17564860949152,0.68834058889783,60.1916276682673,-27.0958138341336,0.570783531618961,0.398402383083455,12.0653484466628,-3.0326742233314,0.23894752609234,0.108522531568109,2.51813232609774,1.74093383695113,-1.01702368117036,0.554550729802263,116.489906546554,-55.2449532732771,-1.23090056669804,0.61174196161384,145.679096829964,-69.8395484149821,-1.10305517049586,0.629648084524104,87.0185874638364,-40.5092937319182
8,-1.80030726518831,0.700854266094362,211.304139079446,-102.652069539723,-1.60782355830688,0.643904669691137,217.877153150833,-105.938576575416,-1.27217826328631,0.350525416196919,366.033356979096,-180.016678489548,-1.02748350135993,0.242700519311918,384.826171873444,-189.413085936722,-0.782163542089799,0.130799886989575,426.89941000998,-210.44970500499,-0.654767193863888,0.087232445526702,442.104620350678,-218.052310175339,-0.676273206262465,0.0936104289732881,433.52023116187,-213.760115580935,-0.443628529988758,0.102971569395746,251.657404042884,-122.828702021442,-1.73305325521078,0.679314469323583,216.224282631577,-105.112141315788,-1.54056954523783,0.615546848408257,225.118069660998,-109.559034830499,-1.20492425187944,0.328141334839856,364.282418441246,-179.141209220623,-0.960229484608801,0.219620407878197,383.737793666715,-188.868896833358,-0.714909530693734,0.11222252684901,425.802784556782,-209.901392278391,-0.587651623034255,0.0715512637780113,441.887848411141,-217.943924205571,-0.607997053263738,0.0766107651873292,434.722028838588,-214.361014419294,-0.376512950837383,0.0743995208813496,257.258489941352,-125.629244970676,0.725074651476276,0.623443320629047,-83.0350999549105,44.5175499774553,0.720011834071565,0.593997589543127,-61.1032650799661,33.5516325399831,1.34127080034833,0.743045693969487,51.4701753090902,-22.7350876545451,0.712367677012928,0.490651338021537,18.2103812750677,-6.10519063753387,0.372410852132105,0.21112995818295,14.9175301011366,-4.4587650505683,-0.930392725338307,0.508160983306445,110.525128284565,-52.2625641422826,-1.15229684161538,0.583885082245634,134.927901435578,-64.4639507177889,-1.02080446741306,0.594016653485017,78.4503466493607,-36.2251733246803,0.617121039300416,0.573612335716945,-106.001990414245,56.0009952071225,0.612058221946808,0.545001680849457,-86.0751574272674,46.0375787136337,1.23331718599078,0.729487913847585,31.8727911902944,-12.9363955951472,0.60441406298378,0.430198017226896,1.20536653520102,2.39731673239949,0.264457240763917,0.128010616244452,-1.90245046765934,3.95122523382967,-1.03749289669423,0.555304329567539,116.154651505801,-55.0773257529007,-1.25936314787929,0.616178190274542,143.41522045503,-68.7076102275151,-1.12784536262934,0.633329846402026,85.0503611278221,-39.5251805639111
9,-1.90167874901029,0.746578813995753,178.128541547452,-86.0642707737258,-1.70013679223897,0.687352367408188,191.852814179167,-92.9264070895833,-1.37333941630751,0.389983509940809,353.497814235861,-173.748907117931,-1.11258266078735,0.271676746814354,377.023409547024,-185.511704773512,-0.859607632122991,0.150827196382591,422.237275016213,-208.118637508106,-0.732392208281232,0.10412034866293,438.406937361651,-216.203468680826,-0.768911767192147,0.115035863471376,428.83150284897,-211.415751424485,-0.495065914383441,0.122334346380571,247.336679685161,-120.66833984258,-1.83271926971867,0.725280235129704,185.282393335513,-89.6411966677565,-1.63117730969812,0.658821465328641,201.234862311136,-97.6174311555678,-1.30437993550719,0.36712720706407,352.326707285555,-173.163353642777,-1.04362317439836,0.247672022125894,376.41617602411,-185.208088012055,-0.790648151106893,0.131042234765925,421.517465401276,-207.758732700638,-0.663705551962276,0.0870707506372474,438.550205423276,-216.275102711638,-0.698776785583656,0.0961975823837524,430.519773182232,-212.259886591116,-0.426379248251575,0.0910220008653883,253.670372947872,-123.835186473936,0.774817109059927,0.679668022244241,-115.37723799612,60.6886189980602,0.767987999170358,0.645180425701872,-88.053200641317,47.0266003206585,1.4116586540833,0.785794298425027,15.0778761322397,-4.53893806611987,0.753929190947272,0.524677687768795,4.38245125007274,0.808774374963628,0.411455327306195,0.246046667432466,5.86330573966304,0.0683471301684779,-0.953325739155762,0.508675777850077,110.317778528335,-52.1588892641676,-1.18573995392682,0.589565255856005,132.220231543009,-63.1101157715047,-1.04760440763264,0.596391761107651,77.2944612561802,-35.6472306280901,0.661374960752651,0.628984836967324,-133.823192421264,69.9115962106322,0.654545850926254,0.595058166129909,-109.385215037499,57.6926075187494,1.29821650506019,0.771666574377931,-2.02917366877907,4.01458683438953,0.640487040675052,0.461197430308539,-9.98257106817691,7.99128553408845,0.298013180588135,0.155193279473036,-8.23632669826409,7.11816334913205,-1.06592175567636,0.558857603133403,114.566207826651,-54.2831039133254,-1.29830979370471,0.624475443552532,139.109875683869,-66.5549378419346,-1.16015491966098,0.638831489357051,82.0721068577347,-38.0360534288673
10,-1.9113775885771,0.755130164953423,171.263324044235,-82.6316620221173,-1.70957167758539,0.695847089218286,186.343571984285,-90.1717859921425,-1.39045776773253,0.400252049477435,350.102513197562,-172.051256598781,-1.12847522209949,0.279833325956594,374.770949187199,-184.3854745936,-0.875925882802218,0.156798295472032,420.825974187021,-207.412987093511,-0.748977223748717,0.109057972751234,437.312645670768,-215.656322835384,-0.790343815582492,0.121498362572134,427.394950449994,-210.697475224997,-0.50504655285662,0.127513801031117,246.164741360772,-120.082370680386,-1.84291595494645,0.734264438856178,178.63242173695,-86.3162108684752,-1.6411100406952,0.667679877990424,195.973427293891,-94.9867136469457,-1.32199613256253,0.377568892167757,348.999409114199,-171.4997045571,-1.06001358139195,0.255823164029259,374.237439961964,-184.118719980982,-0.807464247342713,0.136841825948176,420.178152547268,-207.089076273634,-0.680972051348127,0.0918019651987717,437.521411226513,-215.760705613257,-0.720768918193336,0.102314546833395,429.188729371988,-211.594364685994,-0.437041369941184,0.0957792367201235,252.631397100235,-123.315698550117,0.786609085480325,0.701364589116677,-129.404122146359,67.7020610731793,0.779981351584029,0.666297585514911,-100.325160168492,53.162580084246,1.41988244268047,0.795942595525045,5.37079075000286,0.314604624998571,0.75942525377848,0.533002239301764,0.848718568213553,2.57564071589322,0.420965187111943,0.257864737531896,2.70351534750052,1.64824232624974,-0.951909907403063,0.507535994840573,110.776570635398,-52.3882853176988,-1.1844917952174,0.588781246810304,132.596180356903,-63.2980901784516,-1.04574049023561,0.594779180308336,78.0799890138964,-36.0399945069482,0.671502412964712,0.64918326973217,-145.018988694056,75.509494347028,0.664874679135919,0.614732740014161,-119.346447333875,62.6732236669374,1.30477577001492,0.780431315973437,-9.85754545414577,7.92877272707289,0.644318578833459,0.467299137227295,-12.2604071216523,9.13020356082614,0.305858516550777,0.163670574338998,-10.2533832559428,8.12669162797142,-1.06620117447333,0.559558578703449,114.251335458852,-54.1256677294259,-1.29876437117732,0.625397746871603,138.62544067076,-66.31272033538,-1.15998512260835,0.639190174884207,81.8763639907717,-37.9381819953859
