date,days from 120901,FLC.mean,FLC.log10mean,FLC.mean_norm,FLC.log10mean_norm,FLC.log10mean_norm.2,FLC.log10.difference.from.min,FLC.log10.relative.to.max,,,FLC_PP2A_mean.mean,FLC_PP2A_mean.log10mean,FLC_PP2A_mean.log10mean.difference.from.min,FLC_PP2A_mean.log10mean.relative.to.max,,K4_I_ACT2_mean,K4_II_ACT2_mean,K4_III_ACT2_mean,K4_IV_ACT2_mean,K4_V_ACT2_mean,K4_VI_ACT2_mean,K4_VII_ACT2_mean,K4_VIII_ACT2_mean,K4_I_ACT2_mean_norm,K4_II_ACT2_mean_norm,K4_III_ACT2_mean_norm,K4_IV_ACT2_mean_norm,K4_V_ACT2_mean_norm,,K4_I_PP2A_mean,K4_II_PP2A_mean,K4_III_PP2A_mean,K4_IV_PP2A_mean,K4_V_PP2A_mean,K4_VI_PP2AA3_mean,K4_VII_PP2AA3_mean,K4_VIII_PP2AA3_mean,K4_I_PP2A_mean_norm,K4_II_PP2A_mean_norm,K4_III_PP2A_mean_norm,K4_IV_PP2A_mean_norm,K4_V_PP2A_mean_norm,,K27_I_FUS3_mean,K27_II_FUS3_mean,K27_III_FUS3_mean,K27_IV_FUS3_mean,K27_V_FUS3_mean,K27_VI_FUS3_mean,K27_VII_FUS3_mean,K27_VIII_FUS3_mean,K27_I_FUS3_mean_norm,K27_II_FUS3_mean_norm,K27_III_FUS3_mean_norm,K27_IV_FUS3_mean_norm,K27_V_FUS3_mean_norm,,K27_I_STM_mean,K27_II_STM_mean,K27_III_STM_mean,K27_IV_STM_mean,K27_V_STM_mean,K27_VI_STM_mean,K27_VII_STM_mean,K27_VIII_STM_mean,K27_I_STM_mean_norm,K27_II_STM_mean_norm,K27_III_STM_mean_norm,K27_IV_STM_mean_norm,K27_V_STM_mean_norm
120925,25,1.638033612,0.208503761,0.469533773,0.450571655,7.470318241,3.387958262,0.930193429,,,1.713455675,0.225079973,3.245477339,0.859674781,,1.058776004,0.86012077,0.140344558,0.061009532,0.049971275,0.069438929,0.04358443,0.039163815,0.951846879,0.848849632,1,1,1,,1.112322164,0.90081739,0.146473048,0.064337284,0.052057099,0.057967731,0.046150403,0.042107887,0.834529589,0.702027508,0.977446316,1,1,,0.033341469,0.10675934,0.021522204,0.016156186,0.009301845,0.008898913,0.005437607,0.007523089,0.027538194,0.077446505,0.02005187,0.017176419,0.009243016,,0.037818792,0.115396623,0.02541729,0.019413484,0.011468698,0.014817522,0.006245984,0.008972102,0.026008341,0.089545691,0.019161149,0.010392184,0.004146252
121023,53,1.307500619,0.115496503,0.374788218,0.249585189,7.269331774,3.294951004,0.904657477,,,1.552754437,0.183786389,3.204183756,0.848736774,,0.787653556,0.701560309,0.060225133,0.027246634,0.031075196,0.053238526,0.086723147,0.05548861,0.708105941,0.692366969,0.429123397,0.446596345,0.621861177,,1.010718991,0.903196324,0.076507723,0.034846759,0.03987632,0.068916977,0.111871968,0.071342388,0.743246336,0.704365997,0.491533432,0.502575547,0.71758826,,0.020917209,0.056698032,0.012288398,0.010224698,0.009802305,0.004629436,0.0050097,0.010651234,0.017276448,0.041130495,0.011448891,0.010870369,0.009740311,,0.031726143,0.079710799,0.015860937,0.012634226,0.012493177,0.006109979,0.007501621,0.014621582,0.019325056,0.054617161,0.007734808,0.001013461,0.005490759
121106,67,1.055463152,0.000146957,0.302542996,0.000317571,7.020064156,3.179601458,0.872987255,,,1.601427667,0.179385086,3.199782453,0.84757094,,0.964508084,1.013278133,0.039577871,0.016813559,0.02065561,0.028178863,0.05450234,0.037156325,0.867099373,1,0.282005031,0.27558905,0.413349662,,1.092638308,1.155934358,0.044354692,0.018896877,0.023058585,0.032798316,0.06383033,0.043035083,0.816845039,0.952807174,0.26822893,0.233544686,0.32766855,,0.044187038,0.029591503,0.009589538,0.012408515,0.01093225,0.003838966,0.001894891,0.005113896,0.036496029,0.021466586,0.008934409,0.01319209,0.01086311,,0.045269254,0.029498035,0.009391976,0.012338479,0.010487414,0.003644093,0.001896962,0.004589324,0.034181068,0.005469969,0,0.000604312,0.002858433
121121,82,0.649462289,-0.221463624,0.18616497,-0.682538645,6.33720794,2.957990877,0.812142142,,,1.06465128,-0.0256737,2.994723667,0.793254164,,0.779188712,0.840005879,0.025152651,0.012886135,0.012557101,0.091286515,0.160629475,0.11873164,0.700495989,0.828998329,0.179220711,0.211215116,0.251286391,,0.859716991,0.9452865,0.026831492,0.014482216,0.013184022,0.061690144,0.181278857,0.112731473,0.607581737,0.745740589,0.146529379,0.159081436,0.0987265,,0.106233268,0.123505385,0.056550562,0.021125833,0.015530047,0.00782021,0.002428232,0.006819128,0.087742754,0.089594601,0.052687193,0.02245989,0.015431828,,0.084572916,0.095703315,0.045271528,0.016094132,0.012354584,0.006282135,0.001795195,0.035622188,0.07729492,0.070270297,0.042900466,0.005800047,0.005308872
121204,95,0.194782496,-0.792910384,0.055833384,-1.648499537,5.371247048,2.386544117,0.65524646,,,0.451885766,-0.430950062,2.589447305,0.685902969,,0.598520462,0.718785823,0.011761994,0.007359071,0.009092404,0.147246977,0.28121069,0.188242503,0.538073995,0.709366757,0.083807978,0.120621666,0.181952618,,0.86431644,1.041527856,0.016984572,0.010636901,0.01313034,0.211341622,0.403445544,0.270059799,0.611714016,0.840345723,0.078141999,0.094221495,0.097481881,,0.276304532,0.226630366,0.074083845,0.027610461,0.011098792,0.007576956,0.003832383,0.006985063,0.228212133,0.164404631,0.069022654,0.02935401,0.011028598,,0.215570112,0.176230462,0.05882615,0.021293583,0.008309363,0.005134511,0.00287078,0.00543817,0.220991294,0.149088566,0.059107458,0.012993196,0
121218,109,0.144838822,-1.068903631,0.041517291,-2.309875256,4.709871329,2.11055087,0.579470112,,,0.25759216,-0.88378443,2.136612936,0.565954424,,0.428635047,0.506821692,0.008969708,0.0059377,0.010012578,0.14282377,0.254456567,0.164994333,0.385345843,0.500180232,0.063912046,0.097324136,0.200366662,,0.563436538,0.667849969,0.01187408,0.007577214,0.013307264,0.180005225,0.317492806,0.210659667,0.34139474,0.47302082,0.042649362,0.042612948,0.101583869,,0.634552646,0.628325701,0.179395439,0.082704584,0.026910943,0.022333813,0.006203673,0.012304971,0.524105094,0.455806769,0.167139669,0.087927224,0.026740746,,0.423687002,0.415775358,0.120414557,0.056218316,0.017079779,0.015435271,0.004362895,0.008543997,0.449283527,0.383550044,0.13274749,0.061309604,0.011510128
130108,130,0.008964222,-2.104689833,0.002569547,-4.548184539,2.471562047,1.074764668,0.295085994,,,0.01975343,-1.790060377,1.230336989,0.325896493,,0.281545083,0.25407974,0.004890012,0.005130333,0.015710586,0.242949733,0.471236335,0.313196095,0.253110958,0.250750245,0.034842903,0.084090673,0.314392346,,0.416662687,0.374309794,0.007238758,0.007471748,0.022743995,0.362908048,0.708981587,0.483873924,0.209528833,0.18447119,0.010456805,0.040834025,0.320374771,,0.988229667,1.044991765,0.25311615,0.166953798,0.083859774,0.039701352,0.012901691,0.020509187,0.816222587,0.758069135,0.235823997,0.177496617,0.083329409,,0.616319341,0.658381551,0.159414915,0.105337839,0.051753383,0.025048768,0.008072026,0.012821818,0.6605901,0.621007855,0.179379442,0.129263708,0.057015112
130122,144,0.003099709,-2.575883953,0.000888515,-5.551713136,1.468033449,0.603570548,0.165715547,,,0.005323034,-2.348210109,0.672187257,0.1780516,,0.213964232,0.227160819,0.004521827,0.006127452,0.009514931,0.201334403,0.398868068,0.19941366,0.19235531,0.224184073,0.03221947,0.100434343,0.190408018,,0.348562555,0.369040281,0.007261794,0.009361773,0.015514937,0.320082091,0.637668183,0.316073527,0.148345689,0.179291265,0.010616791,0.072713575,0.152768836,,0.924115992,1.174070968,0.38410014,0.211859321,0.148697934,0.054851605,0.026943484,0.028852878,0.763268267,0.851707155,0.357859546,0.22523784,0.147757506,,0.648775583,0.823999248,0.271047365,0.146993969,0.10612774,0.038593833,0.019163701,0.020401091,0.696192727,0.783110954,0.312856141,0.186892626,0.128374991
130205,158,0.001439225,-2.859634087,0.000412546,-6.270812674,0.748933912,0.319820414,0.087809478,,,0.003653514,-2.496328976,0.52406839,0.138817293,,0.191566321,0.183210802,0.005145752,0.004663903,0.006620011,0.115028525,0.23359871,0.152130178,0.172219435,0.180809983,0.036665134,0.076445483,0.132476318,,0.270675568,0.258111229,0.00703623,0.006495736,0.009154344,0.160088334,0.332698613,0.215564707,0.078369749,0.070248143,0.009050237,0.024371374,0.00529829,,1.189779789,1.370656127,0.651734584,0.286244359,0.168233286,0.075630819,0.058527359,0.022786044,0.982691747,0.994316069,0.60720999,0.304320154,0.167169308,,0.78117782,0.898175743,0.427116857,0.189200539,0.110765365,0.049856885,0.038234326,0.014951143,0.841430349,0.855713339,0.499465326,0.245283047,0.134461323
130219,172,0.0006617,-3.179454501,0.000189673,-7.019746585,0,0,0,,,0.001087411,-3.020397367,0,0,,0.192005372,0.192303826,0.003737655,0.003142187,0.006695136,0.136949488,0.24970644,0.15892034,0.172614144,0.189783851,0.026631989,0.05150321,0.13397969,,0.299293713,0.301689231,0.00573311,0.005050844,0.010498924,0.217888129,0.388958953,0.24863346,0.104081125,0.113085266,0,0,0.036472419,,1.177387926,1.232036463,0.702143078,0.415999614,0.365548011,0.171277585,0.140995552,0.06043825,0.972456759,0.893757106,0.654174723,0.44226921,0.363236132,,0.840319781,0.88478253,0.505092009,0.299011976,0.261538803,0.119751348,0.097883448,0.04265829,0.906305672,0.842604345,0.592698663,0.397201008,0.332333537
