date,days from 120901,FLC_mean,FLC.log10mean,FLC_mean_norm,FLC_log10mean_norm,FLC_log10mean_norm_2,FLC_log10mean_norm_3,FLC_log10mean_norm_4,,,FLC_PP2A_mean,FLC_PP2A_mean_log10mean,FLC_PP2A_mean_log10mean_difference_from_min,FLC_PP2A_mean_log10mean_relative_to_max,,K4_I_ACT2_mean,K4_II_ACT2_mean,K4_III_ACT2_mean,K4_IV_ACT2_mean,K4_V_ACT2_mean,K4_VI_ACT2_mean,K4_VII_ACT2_mean,K4_VIII_ACT2_mean,K4_I_ACT2_mean_norm,K4_II_ACT2_mean_norm,K4_III_ACT2_mean_norm,K4_IV_ACT2_mean_norm,K4_V_ACT2_mean_norm,,K4_I_PP2A_mean,K4_II_PP2A_mean,K4_III_PP2A_mean,K4_IV_PP2A_mean,K4_V_PP2A_mean,K4_VI_PP2A_meanA3_mean,K4_VII_PP2A_meanA3_mean,K4_VIII_PP2A_meanA3_mean,K4_I_PP2A_mean_norm,K4_II_PP2A_mean_norm,K4_III_PP2A_mean_norm,K4_IV_PP2A_mean_norm,K4_V_PP2A_mean_norm,,K27_I_FUS3_mean,K27_II_FUS3_mean,K27_III_FUS3_mean,K27_IV_FUS3_mean,K27_V_FUS3_mean,K27_VI_FUS3_mean,K27_VII_FUS3_mean,K27_VIII_FUS3_mean,K27_I_FUS3_mean_norm,K27_II_FUS3_mean_norm,K27_III_FUS3_mean_norm,K27_IV_FUS3_mean_norm,K27_V_FUS3_mean_norm,,K27_I_STM_mean,K27_II_STM_mean,K27_III_STM_mean,K27_IV_STM_mean,K27_V_STM_mean,K27_VI_STM_mean,K27_VII_STM_mean,K27_VIII_STM_mean,K27_I_STM_mean_norm,K27_II_STM_mean_norm,K27_III_STM_mean_norm,K27_IV_STM_mean_norm,K27_V_STM_mean_norm
130924,389,1.578733061,0.192461655,0.374788218,0.249585189,7.269331774,2.49762625,0.942339953,,,3.35210309,0.513480689,2.530228103,0.933172264,,0.922762938,0.954496682,0.040300511,0.011498419,0.010163009,0.014645732,0.014461146,0.014758135,0.885257134,0.898795518,0.471044243,0.452335238,0.456819406,,1.105276314,1.139954391,0.048697614,0.013784159,0.012211565,0.017740037,0.017292444,0.017616451,0.840220204,0.837499499,0.483984397,0.396396204,0.255296456,,0.029565366,0.03299997,0.012942298,0.013067713,0.014190309,0.004883103,0.003031658,0.007411351,0.025782741,0.030093347,0.010635658,0.012166607,0.011876954,,0.021904893,0.024556513,0.009565526,0.009788993,0.010486178,0.00362501,0.00224889,0.005530951,0.015266501,0.018651003,0.003675276,0.00614888,0.007224802
131008,403,1.497221564,0.117925566,0.302542996,0.000317571,7.020064156,2.423090161,0.914217917,,,2.834453954,0.395893608,2.412641021,0.889805027,,0.826029073,0.807146662,0.044526691,0.009518691,0.009125888,0.014579528,0.024143627,0.020928107,0.792455028,0.760044342,0.520441076,0.374454919,0.4102016,,1.07003059,1.054044903,0.05696023,0.012374619,0.011696226,0.018692896,0.030078603,0.026341045,0.808673982,0.764107671,0.573497364,0.339437075,0.225772471,,0.019022477,0.024557478,0.008844663,0.007080385,0.00851791,0.002741392,0.002112706,0.00916893,0.016588721,0.022394466,0.007268323,0.006592146,0.00712929,,0.013610306,0.017802475,0.006319057,0.005122955,0.006232355,0.001985088,0.001556508,0.006668235,0.005527315,0.010168099,0,9.02E-06,0.002625623
131022,417,2.171362816,0.321539886,0.157665758,-0.682538645,6.33720794,2.62670448,0.991040423,,,4.719886355,0.651900015,2.668647428,0.984222632,,0.885398072,0.941198133,0.025463194,0.008521457,0.008509129,0.011523763,0.025280501,0.019914607,0.849410967,0.886273028,0.297621307,0.335224826,0.382478778,,1.101474105,1.18196496,0.031530082,0.010669648,0.010505019,0.014335114,0.033022711,0.025186875,0.836817087,0.873388811,0.298000112,0.270539659,0.157527728,,0.021251479,0.030892241,0.013546617,0.014383392,0.013325492,0.007004323,0.006305428,0.012097794,0.018532542,0.028171266,0.011132272,0.013391562,0.011153122,,0.01557883,0.021850468,0.009488864,0.010287966,0.009449862,0.004923443,0.004441941,0.008491518,0.00783868,0.015252278,0.003588489,0.006805459,0.006104351
131105,431,2.243018472,0.345286809,0.059109114,-1.648499537,5.371247048,2.650451404,1,,,5.000437483,0.694679189,2.711426603,1,,1.01217287,1.047445658,0.02547978,0.009976518,0.008756682,0.023425885,0.0472696,0.0402083,0.971032989,0.98632031,0.297815166,0.392465321,0.39360607,,1.283793874,1.330170867,0.03232709,0.013029556,0.011348848,0.031006068,0.060730488,0.05100444,1,1,0.30663449,0.365902901,0.205871041,,0.014947967,0.025981498,0.011318214,0.010137746,0.010383916,0.003683815,0.003131017,0.006524878,0.013035508,0.02369306,0.009301026,0.009438681,0.008691093,,0.010858128,0.018847049,0.008210001,0.007382099,0.007583947,0.002678563,0.002278835,0.004758404,0.002295813,0.011480058,0.002140708,0.00298174,0.004086947
131119,445,1.739772643,0.23664292,0.041517291,-2.309875256,4.709871329,2.541807514,0.959009288,,,4.100469683,0.583329047,2.600076461,0.958933005,,0.838531515,0.797617831,0.015354349,0.007407886,0.008055089,0.071490033,0.164368863,0.075567455,0.804449307,0.751071581,0.179466154,0.291418148,0.36207002,,1.127798234,1.073093163,0.020597805,0.009929532,0.010891779,0.097782368,0.223603877,0.10247894,0.860378153,0.780380456,0.179565399,0.240631772,0.179685369,,0.057327654,0.070049284,0.019782144,0.016371737,0.008929075,0.006038195,0.004410088,0.004633119,0.049993092,0.063879375,0.016256472,0.015242798,0.007473425,,0.039123496,0.047219808,0.013224875,0.010904336,0.00605549,0.004071186,0.002766156,0.003102251,0.035483925,0.047115537,0.007817968,0.007616517,0.002434399
131203,459,0.374608329,-0.449789955,0.002569547,-4.548184539,2.471562047,1.85537464,0.700022131,,,0.68098033,-0.204150253,1.812597161,0.668503126,,0.630977938,0.592871018,0.007670998,0.004918268,0.010738407,0.158999758,0.48268736,0.207198098,0.605331768,0.558273092,0.08966088,0.193479292,0.482683072,,0.865245246,0.814753985,0.010739432,0.00683974,0.014861966,0.219177763,0.662332028,0.28423305,0.625383552,0.559683243,0.072764814,0.115774115,0.407139027,,0.164720284,0.168131402,0.028796087,0.01362444,0.00540421,0.005708447,0.004565519,0.006885383,0.143645793,0.153322464,0.023663906,0.012684945,0.004523196,,0.11480645,0.116958463,0.020105897,0.009598202,0.003803892,0.004031099,0.003161558,0.004840237,0.124347951,0.13470555,0.015607865,0.005897825,0
131217,473,0.320801381,-0.530640917,0.000895585,-5.551713136,1.468033449,1.774523678,0.66951753,,,0.464582493,-0.34561291,1.671134503,0.616330349,,0.333486114,0.306949675,0.004843292,0.004195343,0.011189047,0.123635153,0.255477435,0.12577243,0.319931533,0.289037142,0.056609825,0.165040202,0.502938987,,0.484419991,0.443735593,0.0068938,0.005915577,0.015973153,0.180303453,0.37084635,0.184457995,0.284530913,0.242725028,0.031103199,0.078428939,0.470799391,,0.469276236,0.511542535,0.113445052,0.044624307,0.023553084,0.0134612,0.006493331,0.01028326,0.409236526,0.4664861,0.093226313,0.041547166,0.019713375,,0.30401453,0.341807553,0.07109058,0.029139581,0.015100406,0.009009483,0.004297878,0.007132156,0.346508833,0.417110407,0.073326822,0.031611578,0.012213647
140107,494,0.06372846,-1.291089895,0.000376712,-6.270812674,0.748933912,1.0140747,0.382604525,,,0.116418096,-1.031284265,0.985463148,0.363448211,,0.249712146,0.233322121,0.004787725,0.00448057,0.007158746,0.312193743,0.590805405,0.327012298,0.239562568,0.21970624,0.055960345,0.176260718,0.321780099,,0.361844655,0.336399255,0.006799769,0.006381306,0.01031484,0.453946265,0.85495635,0.470543193,0.174821469,0.151028404,0.030084515,0.097248922,0.146632295,,0.767232062,0.848821549,0.216369443,0.101129013,0.024321558,0.016802712,0.012012714,0.019756473,0.669071561,0.77405773,0.177807011,0.094155499,0.02035657,,0.537128595,0.592566324,0.151487086,0.070812493,0.017050954,0.011839308,0.008372669,0.013901965,0.620222441,0.732057177,0.164342441,0.086447367,0.014322554
140121,508,0.043422253,-1.563881907,0.000169719,-7.019746585,0,0.741282687,0.279681675,,,0.081416527,-1.293604293,0.72314312,0.266702082,,0.154730444,0.12408009,0.002926293,0.003261206,0.006446773,0.283955025,0.512067275,0.263534,0.148441408,0.1168392,0.034203375,0.128292301,0.289777443,,0.212868321,0.17070133,0.004022777,0.00449185,0.00892557,0.39288595,0.708670725,0.36441875,0.04148216,0.009473915,0,0.020896517,0.067040441,,0.826011282,0.748775356,0.247161276,0.143249019,0.073939785,0.047213328,0.012322866,0.018382249,0.720330505,0.68282356,0.203110971,0.133371052,0.061885855,,0.525064008,0.479575429,0.153151476,0.088850192,0.048163862,0.031279699,0.00719209,0.01277831,0.606056665,0.590143427,0.16622667,0.110182485,0.047961433
140204,522,0.005557864,-2.303876461,0.000331695,-6.368780646,0.650965939,0.001288134,0.000486005,,,0.017808621,-1.779088246,0.237659167,0.087650968,,0.171565821,0.172316148,0.002970349,0.00267903,0.005685401,0.197514033,0.44107008,0.223463355,0.164592509,0.162260366,0.034718312,0.10539011,0.255554353,,0.239063359,0.240083233,0.00416809,0.003974734,0.007774793,0.274253193,0.608975105,0.304337928,0.064927684,0.068746352,0.001574247,0,0.00111195,,1.008771565,1.00470093,0.363733952,0.215147283,0.122395005,0.064004431,0.025305429,0.026072162,0.879708239,0.916207325,0.298907487,0.200311456,0.10244173,,0.696966626,0.69945268,0.2555519,0.151275223,0.085630787,0.045953403,0.01799961,0.017980444,0.807898136,0.866303778,0.282152579,0.192325193,0.088470195
