date,FLC.ACT2.log10,FLC.ACT2,FLC.PP2A.log10,FLC.PP2A
120925,0.28744165,1.938392186,0.22184875,1.666666667
120925,0.089886229,1.229946524,0.081832856,1.207349081
120925,0.233495925,1.711969112,0.277208798,1.893253629
120925,0.223191237,1.671826625,0.319429488,2.086553323
121023,0.083058901,1.210762332,0.168438295,1.473799127
121023,0.153780178,1.424886191,0.259175049,1.816247582
121023,0.131807182,1.354587869,0.250709296,1.781186094
121023,0.093339751,1.239766082,0.056822917,1.139784946
121106,-0.128273982,0.744262295,0.191301333,1.5534645
121106,0.18749424,1.539906103,0.212677786,1.631840796
121106,0.087669356,1.223684211,0.369419043,2.341095028
121106,-0.146301788,0.714,-0.055857817,0.879310345
121121,-0.419585739,0.380552221,-0.211590439,0.614341085
121121,-0.24351451,0.570802005,0.139974441,1.38030303
121121,-0.598998627,0.251768489,-0.26760624,0.54
121121,-0.001290623,0.997032641,0.236527438,1.723961006
121204,-0.377564249,0.419213974,-0.089242572,0.814249364
121204,-0.843761748,0.143297381,-0.634300264,0.232113145
121204,-0.882436788,0.131088083,-0.227307354,0.592505855
121204,-1.067878752,0.085530547,-0.772950057,0.168674699
121218,-1.09791649,0.079814815,-0.903341825,0.124927536
121218,-0.406878096,0.391851852,-0.119153568,0.760057471
121218,-1.717986211,0.019143167,-1.590843729,0.02565407
121218,-1.052833728,0.088545455,-0.9217986,0.119729564
130108,-2.054536082,0.008819905,-1.632800406,0.023291615
130108,-2.515429258,0.003051903,-2.341212384,0.00455814
130108,-1.870724197,0.013467153,-1.623305332,0.023806452
130108,-1.978069795,0.010517928,-1.562923386,0.027357513
130122,-2.459497784,0.00347138,-2.120280243,0.007580882
130122,-2.788906361,0.001625899,-2.506828182,0.003112948
130122,-2.816825946,0.001524664,-2.70050011,0.001992966
130122,-2.238305719,0.005776892,-2.065231903,0.008605341
130205,-2.815973414,0.00152766,-2.253791419,0.005574534
130205,-3.054086896,0.000882903,-2.667212314,0.00215173
130205,-3.033367901,0.000926045,-2.783893658,0.001644774
130205,-2.729560945,0.001863971,-2.280418515,0.00524302
130219,-3.139528303,0.000725223,-3.19064119,0.000644702
130219,-3.189479456,0.000646429,-2.977849872,0.001052326
130219,-3.495221282,0.000319727,-3.226860403,0.000593116
130219,-3.169429545,0.000676972,-2.686238001,0.002059501
130305,-2.998484136,0.001003497,-2.812564011,0.0015397
130305,-2.838100193,0.001451777,-2.665521952,0.002160121
130305,-3.080003662,0.000831757,-2.709082497,0.001953968
130305,-2.868769013,0.001352792,-2.642488648,0.002277778
130319,-2.030152417,0.009329268,-1.525425934,0.029824561
130319,-2.705703387,0.001969231,-2.318650175,0.0048012
130319,-3.190409956,0.000645045,-2.863588667,0.001369025
130319,-2.177804454,0.00664042,-1.589874577,0.025711382
130402,-0.951192141,0.111894273,-0.525095843,0.298472385
130402,-2.308612439,0.004913462,-2.008694594,0.00980179
130402,-1.28439613,0.051952191,-0.685439487,0.206329114
130402,-2.212438727,0.006131423,-1.762352663,0.017284123
130416,-0.223450048,0.597791798,0.182439863,1.522088353
130416,-0.704676326,0.19738933,-0.272918018,0.533435583
130416,-0.501284132,0.315294118,-0.398371928,0.399602386
130416,-0.355387658,0.441176471,-0.103655015,0.787671233
130430,-0.214776558,0.609850581,0.27651304,1.890222985
130430,-0.128546724,0.743795036,0.48514213,3.055921053
130430,-0.720269881,0.190427699,-0.341471555,0.455542022
130430,0.168696983,1.474677259,0.607060389,4.046321526
130513,-0.026328939,0.941176471,0.500828605,3.168316832
130513,0.265632026,1.843452816,0.681241237,4.8
130513,-0.399533752,0.398534799,-0.000797603,0.998165138
130513,0.432477847,2.706935123,0.536242707,3.4375
130528,0.168350226,1.473500291,NA,NA
130528,0.253083376,1.790949649,0.771099367,5.903361345
130528,-0.213906479,0.611073599,-0.012767333,0.971030043
130528,0.590404981,3.894080997,0.689519109,4.892367906
130611,0.443290475,2.775175644,0.61963608,4.165202109
130611,0.483199098,3.042279412,0.838586756,6.895833333
130611,0.084226607,1.21402214,0.384722743,2.425061425
130611,0.840299157,6.923076923,0.983531886,9.627906977
130702,-0.010550182,0.976,-0.145364553,0.715542522
130702,0.484614245,3.052208835,0.457567718,2.867924528
130702,0.104043248,1.270700637,0.266519145,1.847222222
130702,0.425341015,2.662815126,0.439718333,2.752442997
130716,0.098098234,1.253424658,0.136969824,1.370786517
130716,-0.092314261,0.808510638,-0.025367472,0.943262411
130716,0.049103398,1.119704433,0.214522975,1.638788753
130716,0.076596152,1.192878338,0.225828152,1.682008368
130730,0.060202102,1.148688047,0.08764035,1.223602484
130730,-0.115531268,0.766423358,0.152251121,1.419878296
130730,0.246129126,1.7625,0.143466784,1.391447368
130730,0.268266947,1.85467128,0.449041893,2.812172088
130813,0.184682476,1.529968454,0.201441899,1.590163934
130813,0.302508267,2.006819289,0.4871447,3.070044709
130813,0.507234219,3.215394165,0.908828902,8.106416275
130813,0.353977126,2.25931677,0.866197803,7.348484848
130827,0.456498058,2.860869565,0.661071454,4.582172702
130827,0.461583232,2.894564506,1.425575883,26.64255576
130827,0.12875394,1.345098039,0.376931628,2.381944444
130827,0.292743119,1.962199313,0.55578561,3.595717884
130910,0.148561782,1.407867495,0.388464117,2.446043165
130910,-0.036132842,0.920168067,0.547352515,3.526570048
130910,0.145122142,1.396761134,0.707444312,5.098522167
130910,0.112168132,1.29469697,0.671640679,4.695054945
130924,0.266029332,1.845140033,0.548844308,3.538704581
130924,0.23477311,1.717011129,0.57908714,3.793911007
130924,0.073884033,1.185452163,0.331610992,2.145907473
130924,0.195160147,1.567328918,0.594380317,3.929889299
131008,0.36170035,2.29985444,0.469762465,2.94959552
131008,0.290351594,1.951423786,0.716077907,5.200892857
131008,-0.250930753,0.561137441,0.143422142,1.391304348
131008,0.070581074,1.176470588,0.254311916,1.796023092
131022,0.398182428,2.501395868,0.730633013,5.378151261
131022,0.451264866,2.826603325,0.825126959,6.685393258
131022,0.142312833,1.387755102,0.450131609,2.819237148
131022,0.294399417,1.96969697,0.601708478,3.996763754
131105,0.371394013,2.35176549,0.619378853,4.162735849
131105,0.311370829,2.048192771,0.767263445,5.851449275
131105,0.256126422,1.803542673,0.650410292,4.471057884
131105,0.442255972,2.768572956,0.741664167,5.516506922
131119,0.196693263,1.572871573,0.385825468,2.431226766
131119,0.173695806,1.491749175,0.482827466,3.039677202
131119,0.254123247,1.79524302,0.664361876,4.617021277
131119,0.322059363,2.099226804,0.800301378,6.313953488
131203,-0.217759723,0.605675878,0.079074158,1.199704142
131203,-0.53589386,0.291142857,-0.228111093,0.591410331
131203,-0.492664267,0.321614583,-0.286730943,0.516736402
131203,-0.552841969,0.28,-0.380833132,0.416070446
131217,-0.670669154,0.213467049,-0.352635684,0.44398093
131217,-0.272123022,0.534412955,-0.180766164,0.659528908
131217,-0.713910354,0.193236715,-0.458637849,0.347826087
131217,-0.465861137,0.342088806,-0.390411942,0.406994048
140107,-1.627614096,0.023571429,-1.204850503,0.062394958
140107,-1.349091441,0.044761905,-1.200890397,0.062966507
140107,-1.334765757,0.046263048,-1.149974581,0.070798722
140107,-0.852888284,0.14031746,-0.569421579,0.269512195
140121,-1.668330046,0.021461988,-1.362704299,0.043380615
140121,-2.30221175,0.004986413,-2.082716906,0.008265766
140121,-1.233616975,0.05839599,-0.897461902,0.126630435
140121,-1.051368858,0.088844622,-0.831534065,0.147389293
140204,-2.294732252,0.005073034,-1.639808472,0.022918782
140204,-2.403726401,0.003947059,-1.762109205,0.017293814
