sma,coef.RNA.log.ACT2,r.sqr.RNA.log.ACT2,aic.RNA.log.ACT2,loglik.RNA.log.ACT2,coef.RNA.ACT2,r.sqr.RNA.ACT2,aic.RNA.ACT2,loglik.RNA.ACT2,coef.RNA.log.PP2A,r.sqr.RNA.log.PP2A,aic.RNA.log.PP2A,loglik.RNA.log.PP2A,coef.RNA.PP2A,r.sqr.RNA.PP2A,aic.RNA.PP2A,loglik.RNA.PP2A
1,5.48620580851326,0.566222490693563,449.761914643277,-221.880957321639,4.10375600418141,0.40549296871981,463.445083486776,-228.722541743388,5.43349314190758,0.569952337661251,441.213868217226,-217.606934108613,8.05973322085464,0.2353952468253,888.634758048117,-441.317379024059
2,5.34257671697169,0.57264544243348,446.778367241151,-220.389183620576,3.91002148006871,0.392572525443515,467.745131759667,-230.872565879833,5.27677796653765,0.572759341032468,439.910699485739,-216.955349742869,7.56054601130562,0.22070741487184,892.421236165023,-443.210618082511
3,5.35295488053168,0.567560463915347,449.144067514561,-221.57203375728,3.9776298530742,0.401098505151756,464.918001882708,-229.459000941354,5.28163592034367,0.566261747707785,442.914363345276,-218.457181672638,7.60892835739439,0.220598907114714,892.448942755493,-443.224471377747
4,5.3920060396255,0.571455088759033,447.334672968775,-220.667336484387,4.01099754798297,0.404728230706653,463.70218610723,-228.851093053615,5.31826135695035,0.569584719156043,441.383907119115,-217.691953559558,7.71418009626335,0.224944090052129,891.336408082438,-442.668204041219
5,5.43551228457685,0.574893278774828,445.723613620255,-219.861806810127,4.09254245517733,0.417128626882125,459.49188137288,-226.74594068644,5.35345820078574,0.571309071884514,440.585061411349,-217.292530705675,7.95456787026864,0.236761746173293,888.278787648652,-441.139393824326
6,5.52789085362013,0.578628962609193,443.958318289477,-218.979159144739,4.18874373164557,0.425232228050344,456.691791700856,-225.345895850428,5.43493973082805,0.572792615978841,439.895200089641,-216.947600044821,8.15885789956784,0.242294048728825,886.83109080313,-440.415545401565
7,5.4909494876454,0.586507119467455,440.183623734866,-217.091811867433,4.14509877033332,0.427784947679546,455.801552094832,-224.900776047416,5.38984018791074,0.578761836223007,437.095033522962,-215.547516761481,8.06292043224364,0.243113412945862,886.615780756407,-440.307890378203
8,5.5059278949593,0.606708543016986,430.165755952125,-212.082877976062,4.12464504849699,0.435782286781685,452.986613502793,-223.493306751396,5.3971391750786,0.597144182928867,428.215721282502,-211.107860641251,8.02059219743532,0.24753744564487,885.449205039547,-439.724602519773
9,5.57530637983602,0.618475497689089,424.090579367458,-209.045289683729,4.15817832587425,0.440320174350225,451.371550893802,-222.685775446901,5.46035242178132,0.607990634076578,422.784415924964,-208.392207962482,8.08954388619299,0.25048381844134,884.668463042919,-439.334231521459
10,5.60485439853782,0.629912634896264,418.00338432043,-206.001692160215,4.16968231643356,0.446205507097003,449.257308129132,-221.628654064566,5.48973064695743,0.619376174930856,416.91905399478,-205.45952699739,8.112395618804,0.253878971015876,883.764986560646,-438.882493280323
11,5.59215100358004,0.641879049133527,411.429720571662,-202.714860285831,4.12607231993916,0.44724596712487,448.881197977518,-221.440598988759,5.48121661702268,0.632155036716219,410.123204464705,-202.061602232353,8.04950665762039,0.255908235205047,883.223018561264,-438.611509280632
12,5.64318931428862,0.652735913448175,405.272673753985,-199.636336876992,4.1352197195994,0.448603636387497,448.389355579533,-221.194677789767,5.53498229248828,0.643940403288671,403.643081767157,-198.821540883578,8.11246422539725,0.259653903369555,882.218746754308,-438.109373377154
13,5.63721348683749,0.657931422051935,402.25781184227,-198.128905921135,4.11622710368759,0.448980687606401,448.252546482271,-221.126273241135,5.53071606299724,0.64949001540033,400.517004591205,-197.258502295602,8.10125581143152,0.261571551020371,881.702627380253,-437.851313690127
14,5.66416281004302,0.667865517634452,396.363555239847,-195.181777619923,4.11634215105257,0.451458504133006,447.351160873694,-220.675580436847,5.56101814003959,0.660121801125773,394.387430873386,-194.193715436693,8.12012629110922,0.264190430712025,880.995607753317,-437.497803876659
15,5.75398549536737,0.678322656255068,389.96536540874,-191.98268270437,4.171529275108,0.456317085348914,445.571814718744,-219.785907359372,5.64663348690295,0.669811259082576,388.631777418218,-191.315888709109,8.24457699466477,0.268031640134134,879.954029998395,-436.977014999198
16,5.80193394581313,0.68551817835407,385.440819119277,-189.720409559639,4.20241153433191,0.460307356981852,444.098534414923,-219.049267207462,5.68841129032636,0.675671173324109,385.068376981529,-189.534188490765,8.30415573909361,0.270284066893465,879.340719337459,-436.670359668729
17,5.85274443403101,0.689178982703534,383.099012272085,-188.549506136042,4.24440507841217,0.463899490413109,442.762907106805,-218.381453553403,5.73421017940712,0.678501024738347,383.324432128668,-188.662216064334,8.38961039126023,0.272623282030714,878.701769972249,-436.350884986125
18,5.87257898328762,0.694178971845128,379.855575493899,-186.92778774695,4.25423921607556,0.466267210118946,441.877638879388,-217.938819439694,5.74965924953765,0.682600893653102,380.770393740443,-187.385196870222,8.39776863030546,0.273329502602766,878.508464138155,-436.254232069078
19,5.87887628111577,0.69529135664567,379.126774858401,-186.5633874292,4.26315647224719,0.467970068359284,441.238524879607,-217.619262439803,5.75174577003106,0.682670230262663,380.726916955701,-187.363458477851,8.41149608383127,0.27405274600428,878.310304025275,-436.155152012637
20,5.90057971936188,0.695573624967453,378.941418027179,-186.470709013589,4.29002795299672,0.470599353689151,440.247676957057,-217.123838478528,5.77119798582952,0.682581734898012,380.782405359645,-187.391202679822,8.46135071871598,0.275409027897335,877.938166055359,-435.96908302768
21,5.91052484560259,0.699876848570811,376.094143424082,-185.047071712041,4.29288705005574,0.472547856937628,439.510202267738,-216.755101133869,5.77921782223517,0.686549539723085,378.279179125829,-186.139589562915,8.46383281265915,0.276403773719817,877.664783650063,-435.832391825031
22,5.92748271601876,0.707232302973615,371.131454714363,-182.565727357181,4.2983002648668,0.475983982689489,438.203025079371,-216.101512539686,5.79419021891659,0.693387785559988,373.889732219843,-183.944866109922,8.47637553005523,0.278539717425244,877.076497857326,-435.538248928663
23,5.97178943295521,0.712543687655716,367.469742712336,-180.734871356168,4.31860900886418,0.476944273716265,437.836176751398,-215.918088375699,5.83622932179151,0.698317572402639,370.664160293145,-182.332080146573,8.52546821272125,0.279705377537009,876.754714436338,-435.377357218169
24,5.99133218631863,0.715630599362973,365.310384275608,-179.655192137804,4.33059090829242,0.478535061961282,437.226982685914,-215.613491342957,5.85529619596497,0.701420435812292,368.606807581335,-181.303403790667,8.54739504508164,0.280559056751211,876.518723623051,-435.259361811525
