sma,coef.RNA.log.ACT2,r.sqr.RNA.log.ACT2,aic.RNA.log.ACT2,loglik.RNA.log.ACT2,coef.RNA.ACT2,r.sqr.RNA.ACT2,aic.RNA.ACT2,loglik.RNA.ACT2,coef.RNA.log.PP2A,r.sqr.RNA.log.PP2A,aic.RNA.log.PP2A,loglik.RNA.log.PP2A,coef.RNA.PP2A,r.sqr.RNA.PP2A,aic.RNA.PP2A,loglik.RNA.PP2A
1,3.7710849376526,0.534559779388378,463.85229813323,-228.926149066615,2.84167565232268,0.38849908828108,469.081864047506,-231.540932023753,3.7300554731104,0.536384876385576,456.170447101238,-225.085223550619,5.47185521158954,0.216666216756797,893.450529198932,-443.725264599466
2,3.84917959763843,0.553183045188607,455.685367122958,-224.842683561479,2.87513674485065,0.395027073649514,466.935316270429,-230.467658135215,3.79958377498409,0.552764087231238,449.012713889335,-221.506356944667,5.5695450275381,0.22293757463048,891.850926572763,-442.925463286382
3,3.8577995362332,0.55163380614137,456.377623493626,-225.188811746813,2.89836554901328,0.398524677662749,465.775676371777,-229.887838185889,3.79793733521786,0.548283519495136,450.996445997255,-222.498222998627,5.61808607626002,0.225196918217364,891.271482427141,-442.63574121357
4,3.85295957297492,0.548975000724471,457.560118133373,-225.780059066687,2.93169862302816,0.406798788273371,463.005305422626,-228.502652711313,3.78580918026987,0.543560629043996,453.066275027928,-223.533137513964,5.69796839245657,0.231124873759705,889.743095298815,-441.871547649407
5,3.88863865038414,0.559468625088509,452.851898090567,-223.425949045284,2.956517522113,0.41392229086712,460.58905287669,-227.294526438345,3.81478158825258,0.552192247200851,449.266994626483,-221.633497313242,5.75501837371374,0.235895926209391,888.504405950662,-441.252202975331
6,3.96570668271506,0.570036533840949,447.995612918312,-220.997806459156,3.01862598608093,0.422724545785331,457.562483414032,-225.781241707016,3.8850080467639,0.560980291285905,445.322872243648,-219.661436121824,5.86867684209965,0.240281432652669,887.358973184226,-440.679486592113
7,3.9958239323856,0.587875533432521,439.520645795781,-216.760322897891,3.0210430053377,0.430094466144028,454.992698234625,-224.496349117312,3.90844048141337,0.576727065282046,438.053979359263,-216.026989679631,5.86626191530859,0.243872195904402,886.416182097872,-440.208091048936
8,4.0496398012193,0.612241427891422,427.332146210861,-210.666073105431,3.03663603132292,0.440608370560803,451.268538270027,-222.634269135014,3.9578737792087,0.599649576319132,426.974259559823,-210.487129779912,5.89468435110559,0.24967256493699,884.883738104026,-439.441869052013
9,4.10279884613951,0.630223008427174,417.835584076335,-205.917792038168,3.06401324696248,0.449875583897955,447.927467579158,-220.963733789579,4.00987381887178,0.617397511355984,417.950870970887,-205.975435485444,5.95057879425104,0.25521015109226,883.409626747363,-438.704813373681
10,4.12675349973333,0.643606850745259,410.462459055511,-202.231229527755,3.06219463117408,0.453572300168944,446.578975256029,-220.289487628015,4.03601554789554,0.631441398865344,410.50890052497,-202.254450262485,5.95659463390721,0.258166296921818,882.618204070566,-438.309102035283
11,4.12782040594859,0.656340227748883,403.185991147388,-198.592995573694,3.04236767522171,0.456339616765769,445.563526106711,-219.781763053355,4.0399206804341,0.644966988360531,403.068499585236,-198.534249792618,5.93155869081304,0.260978984368931,881.862254863676,-437.931127431838
12,4.15041983348922,0.667306985983684,396.699601378258,-195.349800689129,3.04691919586386,0.460299843042949,444.101318920769,-219.050659460385,4.06286417911972,0.656119008437211,396.71738813259,-195.358694066295,5.95512335649314,0.264591323362079,880.887156625069,-437.443578312534
13,4.16509413794947,0.676094693519933,391.345806211753,-192.672903105876,3.04958332409794,0.463891306072968,442.765960369215,-218.382980184608,4.07912573225201,0.665376626132446,391.286678033941,-192.643339016971,5.96866711790191,0.267401682834556,880.125222628015,-437.062611314008
14,4.18307841600289,0.680985077361332,388.303140611312,-191.151570305656,3.05851761798865,0.465955988141397,441.99422578626,-217.99711289313,4.09775981271785,0.670526497028637,388.200246257052,-191.100123128526,5.99057134532325,0.268989606108332,879.693417524534,-436.846708762267
15,4.20886069233871,0.683964850612745,386.426252314698,-190.213126157349,3.07704023662421,0.46789496567053,441.266755392195,-217.633377696097,4.12108609451841,0.672951065978178,386.730406424374,-190.365203212187,6.03283508297555,0.270694280595331,879.228818970961,-436.61440948548
16,4.23998202347269,0.689837788200571,382.674649285559,-188.337324642779,3.09666365150323,0.47096036990376,440.111243664917,-217.055621832458,4.14879966214487,0.677881748431683,383.707380309416,-188.853690154708,6.07434194372107,0.272761800009194,878.663869800237,-436.331934900119
17,4.2665904119843,0.691874600843108,381.356932433716,-187.678466216858,3.11993598085831,0.473515487108253,439.142958017511,-216.571479008755,4.17205600348208,0.679005797531969,383.011744585578,-188.505872292789,6.12076751855901,0.274322262937705,878.236409085882,-436.118204542941
18,4.27727705444545,0.693969789691315,379.992329102498,-186.996164551249,3.12622638989043,0.474486643354294,438.773696234748,-216.386848117374,4.17962749159469,0.680208383295681,382.26480281257,-188.132401406285,6.13057529687455,0.274691581989969,878.135106268166,-436.067553134083
19,4.29373689381493,0.697682312399479,377.551246419816,-185.775623209908,3.13088420175161,0.474786330531778,438.659608682735,-216.329804341367,4.19278552408105,0.682940722648816,380.557216711495,-187.278608355747,6.13487109638862,0.274450901658659,878.201129824346,-436.100564912173
20,4.31136603460017,0.698738508474555,376.85129043083,-185.425645215415,3.14589267818504,0.476156845996233,438.137037850154,-216.068518925077,4.20786650900596,0.683357323621278,380.295568140033,-187.147784070016,6.1600247489483,0.274893785910134,878.079620644286,-436.039810322143
21,4.32888304673344,0.703687067673556,373.538784323501,-183.769392161751,3.15522793610349,0.478483187288166,437.246877443659,-215.623438721829,4.2234864218631,0.687792439647876,377.48853183213,-185.744265916065,6.17879467238956,0.276311386875956,877.690189819537,-435.845094909768
22,4.35842801918261,0.711726739803239,368.037334470514,-181.018667235257,3.16647506800531,0.480820542064082,436.348494785064,-215.174247392532,4.25058415949217,0.695111576874576,372.767786111615,-183.383893055807,6.20069274047895,0.277660287269082,877.318922879196,-435.659461439598
23,4.39348782560533,0.717761806192954,363.80583904781,-178.902919523905,3.1815801124003,0.48175314414901,435.988911719258,-214.994455859629,4.28330357535745,0.70057400981135,369.170143107028,-181.585071553514,6.23216331934957,0.278387688362383,877.118427533965,-435.559213766982
24,4.41611284070598,0.723319740431094,359.828072764374,-176.914036382187,3.18848474755561,0.48260967329313,435.65808955341,-214.829044776705,4.30527270616856,0.706070984244776,365.482875964025,-179.741437982012,6.25052399748314,0.279354678729906,876.851580463676,-435.425790231838
25,4.42852059831678,0.731454075988341,353.859952081447,-173.929976040724,3.18457283734153,0.484116004436031,435.074959912987,-214.537479956493,4.31807593629091,0.714340142457617,359.804112177617,-176.902056088808,6.24928169914792,0.28084116870691,876.440675119364,-435.220337559682
26,4.43842052965605,0.737085712676974,349.621179455831,-171.810589727915,3.18527048401631,0.48588229293597,434.389023092961,-214.194511546481,4.32824896299277,0.72011853532566,355.737423667998,-174.868711833999,6.256088218645,0.282397802820388,876.009468671459,-435.004734335729
27,4.45017714317098,0.742590293207224,345.389365462582,-169.694682731291,3.1878308391747,0.487710995437297,433.676360396756,-213.838180198378,4.33990657812458,0.725638672468628,351.773299525913,-172.886649762957,6.26249787729182,0.283616115517871,875.671328311196,-434.835664155598
28,4.46594821639466,0.74673634116891,342.141779557739,-168.070889778869,3.1940488534179,0.488877861950725,433.220290701799,-213.610145350899,4.3541804571991,0.729352329969182,349.061310242412,-171.530655121206,6.27719739284735,0.284532683891407,875.416557241169,-434.708278620584
29,4.48016060482865,0.751283114282629,338.518613273424,-166.259306636712,3.19414433361681,0.488768125936854,433.26322534596,-213.63161267298,4.3667441300084,0.733376692218508,346.080084385861,-170.040042192931,6.279377404306,0.284656331233686,875.382163010995,-434.691081505497
30,4.49730008214382,0.755003790416101,335.50411225464,-164.75205612732,3.19968219899947,0.489143661005837,433.116257567216,-213.558128783608,4.38134850616421,0.736343629128316,343.853234555959,-168.926617277979,6.29270633400736,0.285112282220163,875.255282493288,-434.627641246644
31,4.52181710302381,0.757424013763188,333.518565707173,-163.759282853587,3.21521238324065,0.490128276436663,432.730409162598,-213.365204581299,4.40284973087586,0.737945304748822,342.640650476158,-168.320325238079,6.32505029159341,0.285864664696388,875.045734961804,-434.522867480902
32,4.52970354928541,0.758938873136544,332.265672340344,-163.132836170172,3.21366938209224,0.488930319025067,433.199763409988,-213.599881704994,4.4097161935861,0.739198241977384,341.68690883566,-167.84345441783,6.32481454184213,0.285437678322996,875.164682858751,-434.582341429375
33,4.54292954681077,0.761499883266969,330.129524341845,-162.064762170922,3.2153569329903,0.488240227896421,433.469638795872,-213.734819397936,4.42200770160957,0.741521217666522,339.90646373951,-166.953231869755,6.33069396456769,0.285274724747348,875.210058977264,-434.605029488632
34,4.55579922890315,0.763896712002029,328.109438444519,-161.054719222259,3.21800273098537,0.487815555384376,433.635535542769,-213.817767771384,4.43435201686377,0.743815288400576,338.132399307261,-166.06619965363,6.33765535261422,0.285192478413155,875.232957396327,-434.616478698163
35,4.56769453360818,0.766165461123679,326.178317672112,-160.089158836056,3.22220517888384,0.487991422642859,433.566850341273,-213.783425170637,4.44502195191044,0.745759958430417,336.616049616206,-165.308024808103,6.34741504271835,0.285444117581998,875.162889567562,-434.581444783781
36,4.57753405873956,0.768421484185872,324.23935982851,-159.119679914255,3.22746077722076,0.488917539254518,433.204764532631,-213.602382266315,4.45313459984903,0.747520272332981,335.233416069746,-164.616708034873,6.357812314183,0.286011041620442,875.00494158252,-434.50247079126
37,4.5951395707616,0.771025087117652,321.978053751058,-157.989026875529,3.23585577742799,0.489358064443227,433.032301109969,-213.516150554985,4.46893798464414,0.749667060656852,333.534121281039,-163.767060640519,6.37563071329924,0.286406021138164,874.894824090945,-434.447412045472
38,4.60502667830212,0.772710261181586,320.500681598407,-157.250340799204,3.23760252585574,0.488851306090731,433.230681631157,-213.615340815578,4.47752723996855,0.751015558399573,332.459247008807,-163.229623504403,6.38188747975961,0.2863827197791,874.901322036396,-434.450661018198
39,4.60771603041046,0.775511072334404,318.020841585048,-156.010420792524,3.23259268794538,0.488535248606875,433.354308988247,-213.677154494124,4.47981429743601,0.753658241886892,330.335801876353,-162.167900938176,6.37475169659976,0.28645541685208,874.881048628162,-434.440524314081
40,4.61605549923827,0.778437368269775,315.396626642326,-154.698313321163,3.23115531886139,0.488173997011783,433.495520704879,-213.74776035244,4.4872971829699,0.756284772928427,328.202643088913,-161.101321544456,6.37419952400735,0.286446197033104,874.883619921065,-434.441809960533
41,4.62539695345074,0.781549341632412,312.567598228162,-153.283799114081,3.23116904251578,0.488152009127723,433.504112457408,-213.752056228704,4.49616365964554,0.75922099863263,325.790576919423,-159.895288459711,6.37615265219648,0.286600843334575,874.840486594342,-434.420243297171
42,4.63672393799796,0.784150325883105,310.172006833619,-152.08600341681,3.23340173694782,0.488060346294496,433.539925678619,-213.76996283931,4.50718368969373,0.761746425724236,323.692328604847,-158.846164302424,6.38356030146801,0.286815027580154,874.780731737518,-434.390365868759
43,4.64675671279497,0.787525420414715,307.020035532407,-150.510017766204,3.23226800912024,0.487704519316552,433.678888688308,-213.839444344154,4.51729674468486,0.765155663582294,320.824211615127,-157.412105807563,6.38189104856891,0.286660193742591,874.823930333514,-434.411965166757
44,4.65049340526702,0.788773048480771,305.842195396947,-149.921097698473,3.23082365358564,0.487256729340588,433.853629400838,-213.926814700419,4.52094191007146,0.76638387483308,319.780731454158,-156.890365727079,6.37993857008814,0.286482146346041,874.873593916775,-434.436796958387
45,4.66375204669802,0.788515192814895,306.086196840057,-150.043098420028,3.23765502067356,0.486382168880419,434.194468768314,-214.097234384157,4.53407422342377,0.766253945473516,319.891377733822,-156.945688866911,6.39571348968613,0.286186759115158,874.955960313766,-434.477980156883
46,4.67260183608146,0.789368507079694,305.27758989742,-149.63879494871,3.23657709231615,0.484742946122061,434.831756807602,-214.415878403801,4.5426082313851,0.767099045784198,319.1705967472,-156.5852983736,6.39588206256795,0.28544197140009,875.163487266872,-434.581743633436
47,4.68024781055889,0.789643791793064,305.016029047191,-149.508014523595,3.23679290474725,0.483393376768886,435.354915109473,-214.677457554736,4.5497931023179,0.767322245634345,318.979794321044,-156.489897160522,6.39802017592211,0.284814284227514,875.338217537048,-434.669108768524
48,4.68911513531984,0.7897152404335,304.948086410504,-149.474043205252,3.23784239288026,0.481922804466639,435.923426287778,-214.961713143889,4.55813187037915,0.767324622680757,318.977761317701,-156.488880658851,6.40191848734462,0.284119935001253,875.531326070178,-434.765663035089
49,4.69560225299583,0.78909435451844,305.537735516804,-149.768867758402,3.23973409660795,0.480775586096235,436.365812119521,-215.18290605976,4.56409372718501,0.766617629125119,319.581514075966,-156.790757037983,6.40731334797565,0.283594421159762,875.677354566099,-434.838677283049
50,4.69707266045594,0.787577661040534,306.970855956089,-150.485427978044,3.23962147518667,0.479517776454491,436.849721795601,-215.424860897801,4.56500414055824,0.764986188806345,320.967767631119,-157.48388381556,6.41010599912079,0.283124679679952,875.807794534822,-434.903897267411
51,4.69937424004751,0.785344976364938,309.062004034947,-151.531002017473,3.24137273926996,0.478206745314764,437.352863952755,-215.676431976378,4.5665288919389,0.762589846759671,322.986615924892,-158.493307962446,6.4162130331534,0.282587021722229,875.956989001099,-434.97849450055
52,4.69856360469931,0.783486982295837,310.785699106602,-152.392849553301,3.24090039291772,0.477100940186751,437.776263464996,-215.888131732498,4.56518883252422,0.76059636440275,324.650600103701,-159.32530005185,6.41902506801134,0.282261054071892,876.047387184648,-435.023693592324
53,4.69615840931622,0.782926064204301,311.303167079217,-152.651583539609,3.23571885357943,0.475723028798299,438.302597965746,-216.151298982873,4.56220549034049,0.759832900465352,325.284206121588,-159.642103060794,6.41117062360684,0.2816560872741,876.215049376501,-435.107524688251
54,4.69947944775087,0.783424114844198,310.843763353148,-152.421881676574,3.23413764055802,0.474888623021917,438.620652174629,-216.310326087315,4.56505649443462,0.760201091732997,324.978892514196,-159.489446257098,6.40767532981304,0.281133911823036,876.359653045094,-435.179826522547
55,4.7015021649239,0.783627989370177,310.655403928808,-152.327701964404,3.2330031980397,0.474270670534613,438.855874337131,-216.427937168565,4.56689411197603,0.760369120901854,324.839402616602,-159.419701308301,6.40470678433651,0.280709528031806,876.477098362587,-435.238549181294
56,4.70501644236355,0.783348211302981,310.913845249181,-152.45692262459,3.23249240286242,0.473243798858341,439.246139845679,-216.623069922839,4.57050899024113,0.760178062430187,324.998002739711,-159.499001369855,6.40405285876514,0.280138033660108,876.635146089734,-435.317573044867
57,4.7149099798726,0.783994370063075,310.316458760313,-152.158229380157,3.231706598063,0.471419262643773,439.937686958585,-216.968843479293,4.57956217000683,0.760633585705859,324.619658154281,-159.309829077141,6.40196855189994,0.279017032279947,876.944796787584,-435.472398393792
58,4.72179279890879,0.783501424732793,310.772357720647,-152.386178860324,3.23084598860952,0.469500212057839,440.66248649569,-217.331243247845,4.58580566261936,0.76002110587236,325.128199913447,-159.564099956724,6.40021289614947,0.277881263120829,877.258036122845,-435.629018061422
59,4.72907200310695,0.781818115316776,312.321374054001,-153.160687027,3.23112753760417,0.467131784514481,441.553403450941,-217.776701725471,4.59272389059765,0.758349451057319,326.50959654026,-160.25479827013,6.40386222210514,0.276750698005575,877.569351300389,-435.784675650195
60,4.73304826147742,0.78104154132873,313.031969465094,-153.515984732547,3.2273868826312,0.46480593809658,442.424457562148,-218.212228781074,4.59654159516104,0.757586277790275,327.137081835192,-160.568540917596,6.40101480969103,0.275767725729445,877.839629715296,-435.919814857648
61,4.74069124478014,0.780177668643041,313.819491454662,-153.909745727331,3.22714804015864,0.462727478854396,443.199665620735,-218.599832810367,4.60391023077509,0.756734792475134,327.834850426521,-160.917425213261,6.40507232945488,0.274924945548379,878.071068929895,-436.035534464947
62,4.74469028400541,0.77850223820062,315.338061325041,-154.669030662521,3.2239520120925,0.460043190857834,444.196405489191,-219.098202744596,4.60726393481845,0.754952854980952,329.287228739461,-161.64361436973,6.40054631726344,0.273491478776745,878.464101732227,-436.232050866113
63,4.74536088352029,0.775140502527984,318.350714681022,-156.175357340511,3.22341988489649,0.45777602169013,445.034406869696,-219.517203434848,4.60705911167571,0.751429997343559,332.127732056509,-163.063866028254,6.40097891369017,0.2722762841362,878.796681059775,-436.398340529887
64,4.74410161146917,0.771544271566678,321.524052969234,-157.762026484617,3.2229341557976,0.455756733121254,445.777840563779,-219.888920281889,4.60493908672655,0.747661081607692,335.122401761489,-164.561200880744,6.40109011327479,0.271169562349172,879.099090245826,-436.549545122913
65,4.74643813172585,0.768140582110683,324.481810512117,-159.240905256058,3.22559113077736,0.454047234749641,446.405067125738,-220.202533562869,4.60606663380773,0.744000416783992,337.988542690504,-165.994271345252,6.40754657138259,0.270254137549763,879.348881167273,-436.674440583636
66,4.74506811310352,0.764571557754768,327.536966926518,-160.768483463259,3.22759681304062,0.45276112807786,446.875655162239,-220.43782758112,4.60388070334694,0.740277140086895,340.861967905464,-167.430983952732,6.41326221073711,0.269637487421974,879.516969214468,-436.758484607234
67,4.74016915543192,0.762166759694769,329.569515806937,-161.784757903469,3.22311080801686,0.45101411936188,447.513119401535,-220.756559700767,4.59855137133221,0.737772136773912,342.772107941996,-168.386053970998,6.40467716383409,0.268627650835747,879.791926756891,-436.895963378446
68,4.73490551997202,0.759875152573704,331.487361525992,-162.743680762996,3.2152576400095,0.448464951105757,448.439652553905,-221.219826276953,4.59302335509603,0.735428364954887,344.542852488927,-169.271426244463,6.38845077008557,0.267060855840039,880.217781944882,-437.108890972441
69,4.7311086848421,0.757573472462574,333.395301435445,-163.697650717722,3.20882788208814,0.446035160717166,449.318818378238,-221.659409189119,4.58849314279657,0.732931662515883,346.41196490951,-170.205982454755,6.37587074588036,0.265630769830252,880.605685688958,-437.302842844479
70,4.7312201897115,0.755193833237353,335.348912655808,-164.674456327904,3.20548702122888,0.443687813765798,450.164499373107,-222.082249686553,4.58802251338926,0.730443331317633,348.257504911848,-171.128752455924,6.3713845500686,0.2644107736044,880.936007003284,-437.468003501642
71,4.73602580311377,0.753096857355174,337.054789323202,-165.527394661601,3.20458159074945,0.441308938101948,451.017906491804,-222.508953245902,4.5924639794895,0.728343117058536,349.801977455922,-171.900988727961,6.37216641899128,0.263205393888443,881.261833206706,-437.630916603353
72,4.73927283357316,0.750792646046733,338.912623731602,-166.456311865801,3.20187130854106,0.438613176025289,451.980613573428,-222.990306786714,4.59503574292282,0.725936982736039,351.556811145582,-172.778405572791,6.36969528495089,0.261839106831206,881.630510366512,-437.815255183256
73,4.74472185912875,0.748015516911092,341.129066501172,-167.564533250586,3.20201333162872,0.436026316699355,452.900092750293,-223.450046375147,4.59978249436551,0.723088995054208,353.614093607214,-173.807046803607,6.37386543608844,0.260614757024442,881.960308078207,-437.980154039103
74,4.74625009848028,0.745366636555673,343.220508413168,-168.610254206584,3.20043006213685,0.433773218046945,453.697509387939,-223.848754693969,4.60110067491868,0.720484365693898,355.477142541084,-174.738571270542,6.37610757041999,0.259709850804924,882.203707895608,-438.101853947804
75,4.75018763473795,0.742685946591026,345.31503169966,-169.65751584983,3.20117504671741,0.431697827704755,454.42922897937,-224.214614489685,4.60432042809155,0.717712595389171,357.440772952217,-175.720386476109,6.38171299255983,0.258803465966329,882.447207357908,-438.223603678954
76,4.74969793736407,0.739616929909032,347.686343028696,-170.843171514348,3.19762104104361,0.429048303081631,455.359497279207,-224.679748639603,4.60293908878769,0.714466231482713,359.716255047366,-176.858127523683,6.3771705116731,0.257420644128623,882.818128097685,-438.409064048842
77,4.74595571890062,0.734517706390515,351.565193931188,-172.782596965594,3.1942778630481,0.425870571327228,456.469546110137,-225.234773055068,4.59815320647904,0.709185215624988,363.363185583299,-178.68159279165,6.37292762653163,0.255709482971017,883.276165787337,-438.638082893668
78,4.74138099405844,0.728865112926349,355.778851452505,-174.889425726252,3.1911285888349,0.422574615352204,457.614420826364,-225.807210413182,4.59292991771663,0.703487084203149,367.224620116472,-180.612310058236,6.36928227114886,0.253941421403825,883.748329548118,-438.874164774059
79,4.73925458903173,0.72337577277873,359.787565340947,-176.893782670473,3.19095395125189,0.41972254314818,458.599847439024,-226.299923719512,4.59043443209729,0.69805679234821,370.836105389673,-182.418052694837,6.37110230442714,0.25239944804634,884.159203489664,-439.079601744832
80,4.73367454465366,0.717855273799474,363.739594940087,-178.869797470043,3.18820789187538,0.416783685171772,459.610205826171,-226.805102913085,4.5845276319581,0.692577851371883,374.414709343607,-184.207354671804,6.36871974757866,0.250876365295203,884.564212742269,-439.282106371135
81,4.72103701165603,0.712734679304873,367.336814598822,-180.668407299411,3.17918007651631,0.41367633537374,460.672967993984,-227.336483996992,4.57178143556918,0.687485111892207,377.68432511109,-185.842162555545,6.35394296162114,0.24926141991647,884.992751112519,-439.49637555626
82,4.71183469947841,0.708258131520706,370.429444235251,-182.214722117626,3.16974241445097,0.410238825875116,461.842107897601,-227.921053948801,4.56247297817314,0.683048250375749,380.489716251867,-187.244858125934,6.33934646311063,0.247523143073661,885.452987532914,-439.726493766457
83,4.70668214929187,0.704029116672667,373.307780856517,-183.653890428258,3.16425715776093,0.407269383209614,462.84657961744,-228.42328980872,4.55693023969533,0.678804406101037,383.136557830186,-188.568278915093,6.33140366786911,0.245966500404583,885.864231969501,-439.932115984751
