sma,coef.RNA.log.ACT2,r.sqr.RNA.log.ACT2,aic.RNA.log.ACT2,loglik.RNA.log.ACT2,coef.RNA.ACT2,r.sqr.RNA.ACT2,aic.RNA.ACT2,loglik.RNA.ACT2,coef.RNA.log.PP2A,r.sqr.RNA.log.PP2A,aic.RNA.log.PP2A,loglik.RNA.log.PP2A,coef.RNA.PP2A,r.sqr.RNA.PP2A,aic.RNA.PP2A,loglik.RNA.PP2A
1,1.81130133809824,0.478506652088127,486.594868122364,-240.297434061182,1.29611486041993,0.313596267324673,492.191772072458,-243.095886036229,1.79568366895957,0.482567594543642,478.025456151169,-236.012728075585,2.4622145767431,0.170304587946404,904.892982869157,-449.446491434578
2,2.13901742875533,0.506664537686425,475.493443103101,-234.746721551551,1.57279565318268,0.350601527055191,481.107876467243,-237.553938233622,2.10940626913239,0.505744073716302,468.906192258629,-231.453096129314,3.02650905825281,0.195420606416156,898.775919564613,-446.387959782306
3,1.70492969856023,0.418318465599114,508.440185630124,-251.220092815062,1.26111878684421,0.292943196323452,498.120776297671,-246.060388148836,1.67053850153853,0.412503700034069,503.296674889328,-248.648337444664,2.44693909358853,0.166125863508147,905.892722150164,-449.946361075082
4,1.83256699573781,0.441358465063979,500.357165619655,-247.178582809828,1.37960497965125,0.320153745277339,490.271910153406,-242.135955076703,1.79206659756548,0.433570989838844,496.029555378743,-245.014777689372,2.68728953883803,0.18300245320252,901.823891866931,-447.911945933465
5,2.06072023668083,0.488157112776663,482.859107798085,-238.429553899043,1.55197506803362,0.354379320524421,479.941004401011,-236.970502200505,2.0127179770774,0.478313403819758,479.65489163001,-236.827445815005,3.02051658297291,0.202201890478156,897.091567928183,-445.545783964091
6,2.39213869567332,0.54595744083289,458.893751648178,-226.446875824089,1.80208467493086,0.396564473016942,466.426415428937,-230.213207714469,2.33626747470129,0.534795077818956,456.851677497039,-225.42583874852,3.5069901706747,0.226197310022271,891.014376324995,-442.507188162498
7,2.40177923559123,0.570111940476258,447.960534008407,-220.980267004204,1.78913369528268,0.404908502402612,463.641609070841,-228.82080453542,2.34029202884106,0.555781454823383,447.665570603269,-220.832785301634,3.47478731277777,0.229983384858988,890.038315978471,-442.019157989236
8,2.53516440154593,0.611683048883428,427.619942482041,-210.80997124102,1.87705719810912,0.429186985455706,455.310912006474,-224.655456003237,2.46939348793,0.595714126757061,428.920879941465,-211.460439970732,3.64394583718229,0.243487791774621,886.51732503056,-440.25866251528
9,2.67791335768076,0.651589585916237,405.931791527256,-199.965895763628,1.97720823873581,0.454635406764313,446.189484713511,-220.094742356755,2.61119307429702,0.63584606800185,408.116312225163,-201.058156112581,3.84001509460203,0.258116605765194,882.631533485169,-438.315766742585
10,2.70576662345201,0.666023031187966,397.469971376167,-195.734985688083,1.98126170867101,0.457056205805555,445.299735792425,-219.649867896213,2.64062867063735,0.651177573182171,399.556589644192,-196.778294822096,3.85503620637446,0.260506012678251,881.989573652417,-437.994786826208
11,2.7015971262593,0.674737716227947,392.181941156752,-193.090970578376,1.97132967898647,0.459821927258267,444.278344738214,-219.139172369107,2.63828338409375,0.66063803395045,394.084944780262,-194.042472390131,3.84118504775581,0.262861638481899,881.354656053667,-437.677328026833
12,2.71916697878319,0.689152694457029,383.115926916473,-188.557963458236,1.97488360527306,0.465268931485598,442.251363798947,-218.125681899474,2.65561236741774,0.674822584971449,385.588369454031,-189.794184727016,3.84980843284093,0.266203980950945,880.450295798243,-437.225147899122
13,2.75668132489012,0.699028816422703,376.658469295321,-185.329234647661,2.00038665342325,0.471115278203634,440.052673011655,-217.026336505827,2.69273155536458,0.684714877758882,379.440553723615,-186.720276861807,3.90143071183834,0.269803453642262,879.471743685548,-436.735871842774
14,2.74829693439744,0.692400434455348,381.015329432233,-187.507664716117,1.99984914976722,0.469247363652526,440.757788387798,-217.378894193899,2.68482112658499,0.678417864592218,383.375899568458,-188.687949784229,3.89713580025514,0.268308050862453,879.878868111104,-436.939434055552
15,2.74052937989169,0.689342434932011,382.993810106228,-188.496905053114,1.99779770126758,0.468863525146032,440.902375433343,-217.451187716671,2.6748556044882,0.674321987813658,385.894486142558,-189.947243071279,3.89418139339564,0.26827181857015,879.888722049859,-436.944361024929
16,2.75388733225157,0.693728735696042,380.149803168931,-187.074901584466,2.00535494565951,0.470822485310162,440.163363249279,-217.08168162464,2.68643360451336,0.677944965536836,383.668321862757,-188.834160931378,3.91024110502134,0.269603392983711,879.526258621769,-436.763129310885
17,2.79226959654407,0.700028865353668,375.992814823137,-184.996407411568,2.03024924956114,0.473671561873089,439.083659823723,-216.541829911862,2.72210640451953,0.683211208910778,380.387375476417,-187.193687738209,3.95894285861916,0.271255977852037,879.075493941741,-436.53774697087
18,2.80357223779598,0.703034779584464,373.978570180379,-183.989285090189,2.03195281723388,0.472669836233081,439.463944648433,-216.731972324216,2.73147570611706,0.685380908529086,379.019727287536,-186.509863643768,3.96276061399714,0.270775307049609,879.206708682027,-436.603354341014
19,2.81509387206526,0.706898902250055,371.359082990538,-182.679541495269,2.03097465539116,0.470931665236709,440.12209498369,-217.061047491845,2.74195926635169,0.688882536686792,376.792491969572,-185.396245984786,3.9600073573944,0.269706383967525,879.498196264002,-436.749098132001
20,2.83539197272467,0.707591339290678,370.886033752036,-182.443016876018,2.04417445267887,0.470727479114693,440.199267143665,-217.099633571832,2.75970069618685,0.688623281742482,376.958250103312,-185.479125051656,3.98547870666841,0.269584416913451,879.531428674439,-436.76571433722
21,2.84657642283748,0.714215708010316,366.303024874392,-180.151512437196,2.04858476489653,0.473444330153684,439.169987168285,-216.584993584143,2.76978967263665,0.694680732080211,373.048799050601,-183.5243995253,3.99500656531042,0.27127059974704,879.071501063296,-436.535750531648
