year,month,day,time,air.temperature
2012 ,9 ,1 ,12:00,25
2012 ,9 ,2 ,12:00,25.2
2012 ,9 ,3 ,12:00,25.3
2012 ,9 ,4 ,12:00,25.8
2012 ,9 ,5 ,12:00,26.9
2012 ,9 ,6 ,12:00,25.6
2012 ,9 ,7 ,12:00,26.4
2012 ,9 ,8 ,12:00,26
2012 ,9 ,9 ,12:00,26.4
2012 ,9 ,10 ,12:00,25.1
2012 ,9 ,11 ,12:00,23.9
2012 ,9 ,12 ,12:00,24.5
2012 ,9 ,13 ,12:00,25.6
2012 ,9 ,14 ,12:00,26
2012 ,9 ,15 ,12:00,25.4
2012 ,9 ,16 ,12:00,26.4
2012 ,9 ,17 ,12:00,27.8
2012 ,9 ,18 ,12:00,24.3
2012 ,9 ,19 ,12:00,24.3
2012 ,9 ,20 ,12:00,21.6
2012 ,9 ,21 ,12:00,21.7
2012 ,9 ,22 ,12:00,22
2012 ,9 ,23 ,12:00,19.2
2012 ,9 ,24 ,12:00,20
2012 ,9 ,25 ,12:00,22.4
2012 ,9 ,26 ,12:00,22
2012 ,9 ,27 ,12:00,21.3
2012 ,9 ,28 ,12:00,20.5
2012 ,9 ,29 ,12:00,21
2012 ,9 ,30 ,12:00,19
2012 ,10 ,1 ,12:00,18.9
2012 ,10 ,2 ,12:00,19.5
2012 ,10 ,3 ,12:00,21.8
2012 ,10 ,4 ,12:00,21.1
2012 ,10 ,5 ,12:00,18.5
2012 ,10 ,6 ,12:00,18
2012 ,10 ,7 ,12:00,18.7
2012 ,10 ,8 ,12:00,17.4
2012 ,10 ,9 ,12:00,18.5
2012 ,10 ,10 ,12:00,18.9
2012 ,10 ,11 ,12:00,19.2
2012 ,10 ,12 ,12:00,16.2
2012 ,10 ,13 ,12:00,14.8
2012 ,10 ,14 ,12:00,15.9
2012 ,10 ,15 ,12:00,17.2
2012 ,10 ,16 ,12:00,18.7
2012 ,10 ,17 ,12:00,17.6
2012 ,10 ,18 ,12:00,16.5
2012 ,10 ,19 ,12:00,15.3
2012 ,10 ,20 ,12:00,13.7
2012 ,10 ,21 ,12:00,15.4
2012 ,10 ,22 ,12:00,18.1
2012 ,10 ,23 ,12:00,14.9
2012 ,10 ,24 ,12:00,10.9
2012 ,10 ,25 ,12:00,12.9
2012 ,10 ,26 ,12:00,13.8
2012 ,10 ,27 ,12:00,16
2012 ,10 ,28 ,12:00,16
2012 ,10 ,29 ,12:00,13.5
2012 ,10 ,30 ,12:00,12
2012 ,10 ,31 ,12:00,13.1
2012 ,11 ,1 ,12:00,11.8
2012 ,11 ,2 ,12:00,9.4
2012 ,11 ,3 ,12:00,10.3
2012 ,11 ,4 ,12:00,9.5
2012 ,11 ,5 ,12:00,11.5
2012 ,11 ,6 ,12:00,13
2012 ,11 ,7 ,12:00,10
2012 ,11 ,8 ,12:00,11.8
2012 ,11 ,9 ,12:00,10.7
2012 ,11 ,10 ,12:00,10.8
2012 ,11 ,11 ,12:00,12
2012 ,11 ,12 ,12:00,11.4
2012 ,11 ,13 ,12:00,8.7
2012 ,11 ,14 ,12:00,7.7
2012 ,11 ,15 ,12:00,6.2
2012 ,11 ,16 ,12:00,7.2
2012 ,11 ,17 ,12:00,10.2
2012 ,11 ,18 ,12:00,9.4
2012 ,11 ,19 ,12:00,8.6
2012 ,11 ,20 ,12:00,9.8
2012 ,11 ,21 ,12:00,8.5
2012 ,11 ,22 ,12:00,9.2
2012 ,11 ,23 ,12:00,10
2012 ,11 ,24 ,12:00,7.6
2012 ,11 ,25 ,12:00,6
2012 ,11 ,26 ,12:00,8.1
2012 ,11 ,27 ,12:00,5.1
2012 ,11 ,28 ,12:00,4.8
2012 ,11 ,29 ,12:00,7.4
2012 ,11 ,30 ,12:00,7.6
2012 ,12 ,1 ,12:00,5
2012 ,12 ,2 ,12:00,4.3
2012 ,12 ,3 ,12:00,5.5
2012 ,12 ,4 ,12:00,6.3
2012 ,12 ,5 ,12:00,3.5
2012 ,12 ,6 ,12:00,4.7
2012 ,12 ,7 ,12:00,2.2
2012 ,12 ,8 ,12:00,4
2012 ,12 ,9 ,12:00,1.2
