date,days,RNA.ACT2,RNA.ACT2.log,K4.I.ACT2,K4.II.ACT2,K4.III.ACT2,K4.IV.ACT2,K4.V.ACT2,K4.VI.ACT2,K4.VII.ACT2,K4.VIII.ACT2,K4.NR.ACT2,K4.distNR.ACT2,K27.I.STM,K27.II.STM,K27.III.STM,K27.IV.STM,K27.V.STM,K27.VI.STM,K27.VII.STM,K27.VIII.STM,K27.NR.STM,K27.distNR.STM
120925,25,1.638033612,0.208503761,1.058776004,0.86012077,0.140344558,0.061009532,0.049971275,0.069438929,0.04358443,0.039163815,0.959448387,0.050729058,0.037818792,0.115396623,0.02541729,0.019413484,0.011468698,0.014817522,0.006245984,0.008972102,0.076607708,0.010011869
121023,53,1.307500619,0.115496503,0.787653556,0.701560309,0.060225133,0.027246634,0.031075196,0.053238526,0.086723147,0.05548861,0.744606933,0.065150094,0.031726143,0.079710799,0.015860937,0.012634226,0.012493177,0.006109979,0.007501621,0.014621582,0.055718471,0.009411061
121106,67,1.055463152,0.000146957,0.964508084,1.013278133,0.039577871,0.016813559,0.02065561,0.028178863,0.05450234,0.037156325,0.988893109,0.039945843,0.045269254,0.029498035,0.009391976,0.012338479,0.010487414,0.003644093,0.001896962,0.004589324,0.037383645,0.003376793
121121,82,0.550038839,-0.315847375,0.779188712,0.840005879,0.025152651,0.012886135,0.012557101,0.091286515,0.160629475,0.11873164,0.809597296,0.12354921,0.084572916,0.095703315,0.045271528,0.016094132,0.012354584,0.006282135,0.001795195,0.035622188,0.090138116,0.014566506
121204,95,0.194782496,-0.792910384,0.598520462,0.718785823,0.011761994,0.007359071,0.009092404,0.147246977,0.28121069,0.188242503,0.658653143,0.205566723,0.215570112,0.176230462,0.05882615,0.021293583,0.008309363,0.005134511,0.00287078,0.00543817,0.195900287,0.004481154
121218,109,0.144838822,-1.068903631,0.428635047,0.506821692,0.008969708,0.0059377,0.010012578,0.14282377,0.254456567,0.164994333,0.46772837,0.18742489,0.423687002,0.415775358,0.120414557,0.056218316,0.017079779,0.015435271,0.004362895,0.008543997,0.41973118,0.009447388
130108,130,0.008964222,-2.104689833,0.281545083,0.25407974,0.004890012,0.005130333,0.015710586,0.242949733,0.471236335,0.313196095,0.267812412,0.342460721,0.616319341,0.658381551,0.159414915,0.105337839,0.051753383,0.025048768,0.008072026,0.012821818,0.637350446,0.015314204
130122,144,0.003099709,-2.575883953,0.213964232,0.227160819,0.004521827,0.006127452,0.009514931,0.201334403,0.398868068,0.19941366,0.220562526,0.26653871,0.648775583,0.823999248,0.271047365,0.146993969,0.10612774,0.038593833,0.019163701,0.020401091,0.736387416,0.026052875
130205,158,0.001300145,-2.908247289,0.191566321,0.183210802,0.005145752,0.004663903,0.006620011,0.115028525,0.23359871,0.152130178,0.187388562,0.166919138,0.78117782,0.898175743,0.427116857,0.189200539,0.110765365,0.049856885,0.038234326,0.014951143,0.839676782,0.034347451
130219,172,0.000592087,-3.248414646,0.192005372,0.192303826,0.003737655,0.003142187,0.006695136,0.136949488,0.24970644,0.15892034,0.192154599,0.181858756,0.840319781,0.88478253,0.505092009,0.299011976,0.261538803,0.119751348,0.097883448,0.04265829,0.862551156,0.086764362
130305,186,0.001159955,-2.946339251,0.133914363,0.136186948,0.005354151,0.00446473,0.006526227,0.061331928,0.132511163,0.073798065,0.135050656,0.089213719,0.848327851,0.937313422,0.720377088,0.535921242,0.43531399,0.29327044,0.170818543,0.076558725,0.892820637,0.180215903
130319,200,0.004645991,-2.526017554,0.284548472,0.310416354,0.005921606,0.005340798,0.009551372,0.033033126,0.079962241,0.034891762,0.297482413,0.04929571,0.925733866,1.045590719,0.787527391,0.734735462,0.769405429,0.714949113,0.405430213,0.150645043,0.985662293,0.42367479
130402,214,0.043722837,-1.689159859,0.327771964,0.3245357,0.008056431,0.006127218,0.007787936,0.018964138,0.047252598,0.023965883,0.326153832,0.030060873,0.815353687,1.028666384,0.845736081,0.665093509,0.770283139,0.631833883,0.408379905,0.103856183,0.922010036,0.381356657
130416,228,0.387912929,-0.446199541,0.609364787,0.70220303,0.031622128,0.011712037,0.018276905,0.031710325,0.05240533,0.024851765,0.655783909,0.036322473,0.586646744,0.783522224,0.812624201,0.624442954,0.760652838,0.496540333,0.28190097,0.07668016,0.685084484,0.285040488
130430,242,0.754687644,-0.223724045,0.745899337,0.790597914,0.023180101,0.010458008,0.01121365,0.014309571,0.025751678,0.014693945,0.768248626,0.018251731,0.274369614,0.361641349,0.482244109,0.426600347,0.45897184,0.24799001,0.13244861,0.06020975,0.318005482,0.14688279
130513,255,1.472524802,0.068061796,0.778116039,0.776022527,0.05223978,0.016575222,0.015999113,0.02776552,0.044252225,0.028479054,0.777069283,0.033498933,0.202886142,0.269563187,0.338115002,0.290384639,0.264623747,0.18624954,0.077440403,0.04625768,0.236224665,0.103315874
130528,270,1.942401134,0.199483026,0.752225488,0.728614839,0.039475541,0.012810747,0.012291069,0.017536267,0.027394388,0.016309825,0.740420164,0.020413493,0.082881475,0.117473147,0.157131772,0.124543688,0.111495375,0.083688327,0.030125417,0.018288967,0.100177311,0.044034237
130611,284,3.48863853,0.462753834,0.787136554,0.738667238,0.058360175,0.017664879,0.016878001,0.025055794,0.033142261,0.01834938,0.762901896,0.025515812,0.070670374,0.118754939,0.136968053,0.164076418,0.118643026,0.100316,0.031182982,0.023893846,0.094712657,0.051797609
130702,305,1.99043115,0.250862081,0.850472876,0.921777825,0.036140833,0.010016152,0.008808205,0.011737848,0.009598804,0.008281739,0.886125351,0.009872797,0.026611462,0.048975858,0.067185841,0.072936576,0.064061311,0.054072688,0.007993071,0.013109961,0.03779366,0.025058573
130716,319,1.093629517,0.032870881,0.847774537,0.868447034,0.059394462,0.016486557,0.015562602,0.020804243,0.022136203,0.017162597,0.858110786,0.020034348,0.01633994,0.025821113,0.030085226,0.028461313,0.026549734,0.026127446,0.006406235,0.008317212,0.021080527,0.013616964
130730,333,1.383070671,0.114766727,0.924832801,0.928338506,0.09099225,0.019525373,0.015779156,0.028284489,0.044882039,0.030078417,0.926585654,0.034414982,0.028305045,0.032592207,0.024634033,0.017321153,0.017955833,0.019889488,0.008556263,0.011488754,0.030448626,0.013311502
130813,347,2.25287467,0.337100522,0.950802912,0.793603915,0.109465827,0.025180681,0.024435705,0.027523067,0.029052307,0.024558349,0.872203414,0.027044574,0.017789931,0.023961159,0.017149488,0.011901662,0.012870379,0.008495134,0.005860774,0.009256057,0.020875545,0.007870655
130827,361,2.265682856,0.334894587,1.103350144,0.982085578,0.051509997,0.018058982,0.014097865,0.01252735,0.022038419,0.013710426,1.042717861,0.016092065,0.01781585,0.024808864,0.012796824,0.016371265,0.012745517,0.005147234,0.003397484,0.00609628,0.021312357,0.004880333
130910,375,1.254873416,0.092429803,1.112338578,0.866384486,0.067855589,0.014383583,0.015961343,0.03611915,0.067188318,0.049014246,0.989361532,0.050773905,0.01410894,0.02390947,0.011863918,0.012766502,0.010826024,0.0237676,0.030684555,0.009411656,0.019009205,0.021287937
130924,389,1.578733061,0.192461655,0.922762938,0.954496682,0.040300511,0.011498419,0.010163009,0.014645732,0.014461146,0.014758135,0.93862981,0.014621671,0.021904893,0.024556513,0.009565526,0.009788993,0.010486178,0.00362501,0.00224889,0.005530951,0.023230703,0.003801617
131008,403,1.497221564,0.117925566,0.826029073,0.807146662,0.044526691,0.009518691,0.009125888,0.014579528,0.024143627,0.020928107,0.816587868,0.019883754,0.013610306,0.017802475,0.006319057,0.005122955,0.006232355,0.001985088,0.001556508,0.006668235,0.015706391,0.003403277
131022,417,2.171362816,0.321539886,0.885398072,0.941198133,0.025463194,0.008521457,0.008509129,0.011523763,0.025280501,0.019914607,0.913298103,0.01890629,0.01557883,0.021850468,0.009488864,0.010287966,0.009449862,0.004923443,0.004441941,0.008491518,0.018714649,0.005952301
131105,431,2.243018472,0.345286809,1.01217287,1.047445658,0.02547978,0.009976518,0.008756682,0.023425885,0.0472696,0.0402083,1.029809264,0.036967928,0.010858128,0.018847049,0.008210001,0.007382099,0.007583947,0.002678563,0.002278835,0.004758404,0.014852589,0.003238601
131119,445,1.739772643,0.23664292,0.838531515,0.797617831,0.015354349,0.007407886,0.008055089,0.071490033,0.164368863,0.075567455,0.818074673,0.103808784,0.039123496,0.047219808,0.013224875,0.010904336,0.00605549,0.004071186,0.002766156,0.003102251,0.043171652,0.003313198
131203,459,0.374608329,-0.449789955,0.630977938,0.592871018,0.007670998,0.004918268,0.010738407,0.158999758,0.48268736,0.207198098,0.611924478,0.282961739,0.11480645,0.116958463,0.020105897,0.009598202,0.003803892,0.004031099,0.003161558,0.004840237,0.115882457,0.004010965
131217,473,0.320801381,-0.530640917,0.333486114,0.306949675,0.004843292,0.004195343,0.011189047,0.123635153,0.255477435,0.12577243,0.320217895,0.168295006,0.30401453,0.341807553,0.07109058,0.029139581,0.015100406,0.009009483,0.004297878,0.007132156,0.322911042,0.006813172
140107,494,0.06372846,-1.291089895,0.249712146,0.233322121,0.004787725,0.00448057,0.007158746,0.312193743,0.590805405,0.327012298,0.241517134,0.410003815,0.537128595,0.592566324,0.151487086,0.070812493,0.017050954,0.011839308,0.008372669,0.013901965,0.56484746,0.011371314
140121,508,0.043422253,-1.563881907,0.154730444,0.12408009,0.002926293,0.003261206,0.006446773,0.283955025,0.512067275,0.263534,0.139405267,0.353185433,0.525064008,0.479575429,0.153151476,0.088850192,0.048163862,0.031279699,0.00719209,0.01277831,0.502319719,0.017083366
140204,522,0.005557864,-2.303876461,0.171565821,0.172316148,0.002970349,0.00267903,0.005685401,0.197514033,0.44107008,0.223463355,0.171940985,0.287349156,0.696966626,0.69945268,0.2555519,0.151275223,0.085630787,0.045953403,0.01799961,0.017980444,0.698209653,0.027311152
